SOURCELONG:Gozzilioni Monster Manual	SOURCESHORT:MM	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																																													
																																																																
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	MOVE:	FACE:	REACH:	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	RACETYPE:	RACESUBTYPE:	TYPE:	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	SOURCEPAGE:	Innate Spells
Archon (Lantern)	OUTPUTNAME:[NAME] Archon		STARTFEATS:1	SIZE:S	MOVE:Fly,60	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|LG			BONUS:COMBAT|AC|4|TYPE=NaturalArmor						BONUS:STAT|STR|-10			BONUS:STAT|INT|-4					MONCSKILL:Concentration|Diplomacy|Knowledge (The Planes)|Listen|Sense Motive|Spot									LEGS:0	HANDS:0				NATURALATTACKS:Light Rays,Weapon.Natural.Finesseable.Ranged.Touch,*2,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Lantern Archon							DR:10/Evil		MONSTERCLASS:Outsider:1	RACETYPE:Outsider	RACESUBTYPE:Archon|Extraplanar|Good|Lawful	TYPE:Outsider					HITDICEADVANCEMENT:4		CR:2	SOURCEPAGE:MM	
Beholder	OUTPUTNAME:Beholder		STARTFEATS:1	SIZE:L	MOVE:Walk,5,Fly,20	FACE:10	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base					BONUS:COMBAT|AC|15|TYPE=NaturalArmor							BONUS:STAT|DEX|4	BONUS:STAT|CON|8	BONUS:STAT|INT|6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Hide|Knowledge (Arcana)|Listen|Search|Spot|Survival									LEGS:0	HANDS:0				NATURALATTACKS:Eye Rays,Weapon.Natural.Finesseable.Ranged.Touch,*10,0|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Beholder									MONSTERCLASS:Aberration:11	RACETYPE:Aberration	RACESUBTYPE:Beholder|TrueBeholder	TYPE:Aberration					HITDICEADVANCEMENT:16,33		CR:13	SOURCEPAGE:MM	
Beholder (Gauth)	OUTPUTNAME:Beholder [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,5,Fly,20	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base					BONUS:COMBAT|AC|7|TYPE=NaturalArmor						BONUS:STAT|STR|-2	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|2			MONCSKILL:Hide|Knowledge (Arcana)|Listen|Search|Spot|Survival									LEGS:0	HANDS:0				NATURALATTACKS:Eye Rays,Weapon.Natural.Finesseable.Ranged.Touch,*6,0|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Beholder									MONSTERCLASS:Aberration:6	RACETYPE:Aberration	RACESUBTYPE:Beholder|LesserBeholder	TYPE:Aberration					HITDICEADVANCEMENT:12,18		CR:6	SOURCEPAGE:MM	
Carrion Crawler			STARTFEATS:1	SIZE:L	MOVE:Walk,30,Climb,15	FACE:10	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|TN			BONUS:COMBAT|AC|6|TYPE=NaturalArmor						BONUS:STAT|STR|4	BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|-10	BONUS:STAT|WIS|4	BONUS:STAT|CHA|-4			MONCSKILL:Climb|Listen|Spot									LEGS:60	HANDS:8				NATURALATTACKS:Tentacle,Weapon.Natural.Melee.Finesseable.Bludgeoning.Paralysis,*8,0|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Carrion Crawler									MONSTERCLASS:Aberration:3	RACETYPE:Aberration		TYPE:Aberration					HITDICEADVANCEMENT:6,9		CR:4	SOURCEPAGE:MM	
Devil (Erinyes)	OUTPUTNAME:Devil, [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,30,Fly,50	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|LE			BONUS:COMBAT|AC|8|TYPE=NaturalArmor						BONUS:STAT|STR|10	BONUS:STAT|DEX|10	BONUS:STAT|CON|10	BONUS:STAT|INT|4	BONUS:STAT|WIS|8	BONUS:STAT|CHA|10			MONCSKILL:Concentration|Diplomacy|Escape Artist|Hide|Listen|Move Silently|Search|Sense Motive|Spot|Survival|Use Rope|TYPE=Knowledge									LEGS:2	HANDS:2				NATURALATTACKS:Rope,Weapon.Natural.Ranged.Entangle,*1,1d0		ABILITY:Internal|AUTOMATIC|Race Traits ~ Erinyes ~ MM						SR:20	DR:5/Good		MONSTERCLASS:Outsider:9	RACETYPE:Outsider	RACESUBTYPE:Extraplanar|Evil|Lawful|Baatezu	TYPE:Outsider					HITDICEADVANCEMENT:18	LEVELADJUSTMENT:7	CR:8	SOURCEPAGE:MM	
Githyanki		FAVCLASS:Fighter	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base				LANGBONUS:Common,Draconic,Infernal,Undercommon								BONUS:STAT|DEX|2	BONUS:STAT|CON|2		BONUS:STAT|WIS|-2													LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Race Traits ~ Githyanki									MONSTERCLASS:Humanoid:1	RACETYPE:Humanoid	RACESUBTYPE:Extraplanar	TYPE:Humanoid						LEVELADJUSTMENT:2	CR:1	SOURCEPAGE:MM	
Githzerai		FAVCLASS:Monk	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base				LANGBONUS:Common,Slaad,Undercommon								BONUS:STAT|DEX|6		BONUS:STAT|INT|-2	BONUS:STAT|WIS|2													LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Race Traits ~ Githzerai									MONSTERCLASS:Humanoid:1	RACETYPE:Humanoid	RACESUBTYPE:Extraplanar	TYPE:Humanoid						LEVELADJUSTMENT:2	CR:1	SOURCEPAGE:MM	
Guardinal (Avoral)	OUTPUTNAME:Guardinal, [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40,Fly,90	FACE:5	REACH:5			KIT:1|NG			BONUS:COMBAT|AC|8|TYPE=NaturalArmor						BONUS:STAT|STR|4	BONUS:STAT|DEX|12	BONUS:STAT|CON|10	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Handle Animal|Hide|Intimidate|TYPE=Knowledge|Listen|Move Silently|Ride|Sense Motive|Spellcraft|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Piercing.Slashing,*2,2d6	NATURALATTACKS:Wing,Weapon.Natural.Melee.Bludgeoning,*2,2d8	ABILITY:Internal|AUTOMATIC|Race Traits ~ Avoral ~ MM						SR:25	DR:10/Evil or Silver		MONSTERCLASS:Outsider:7	RACETYPE:Outsider	RACESUBTYPE:Guardinal|Extraplanar|Good	TYPE:Outsider					HITDICEADVANCEMENT:14,21		CR:9	SOURCEPAGE:MM	
Guardinal (Leonal)	OUTPUTNAME:Guardinal, [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,60	FACE:5	REACH:5			KIT:1|NG			BONUS:COMBAT|AC|14|TYPE=NaturalArmor						BONUS:STAT|STR|16	BONUS:STAT|DEX|6	BONUS:STAT|CON|10	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Balance|Concentration|Diplomacy|Hide|Intimidate|Jump|TYPE=Knowledge|Listen|Move Silently|Sense Motive|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Melee.Bludgeoning,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Leonal ~ MM						SR:28	DR:10/Evil and Silver		MONSTERCLASS:Outsider:12	RACETYPE:Outsider	RACESUBTYPE:Guardinal|Extraplanar|Good	TYPE:Outsider					HITDICEADVANCEMENT:18,36		CR:12	SOURCEPAGE:MM	
Hell Hound (Nessian Warhound)	OUTPUTNAME:Nessian Warhound		STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:10	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|LE			BONUS:COMBAT|AC|7|TYPE=NaturalArmor						BONUS:STAT|STR|16	BONUS:STAT|DEX|4	BONUS:STAT|CON|10	BONUS:STAT|INT|-6	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4			MONCSKILL:Hide|Jump|Listen|Move Silently|Spot|Survival|Tumble									LEGS:4	HANDS:0	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning,*1,2d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Nessian Warhound ~ MM									MONSTERCLASS:Outsider:12	RACETYPE:Outsider	RACESUBTYPE:Hell Hound|Evil|Extraplanar|Fire|Lawful	TYPE:Outsider					HITDICEADVANCEMENT:17,24	LEVELADJUSTMENT:4	CR:9	SOURCEPAGE:MM	
