SOURCELONG:Monster Manual 2	SOURCESHORT:MM2	SOURCEWEB:http://www.gozzilioni.net																										
																												
###Block:Weapons																												
# Equipment Name	Output Name	Required Proficiency	Type	Cost	Weight	Wield Category	Slot Needed	Size	Damage	Critical Hit Range	Critical Hit Multiplier	Modifier	Alternative Type	Alternative Damage	Alternative Critical Range	Alternative Critical	Alternative Modifier		Range	Reach	Reach Multiplier			BONUS:EQM	Special Property	Weapon prop. bonus		
# Natural																												
Death Ray	KEY:Catoblepas ~ Death Ray	PROFICIENCY:WEAPON|Spells (Ray)	TYPE:Weapon.Natural.Ranged.Finesseable.Ray	COST:0	WT:0	WIELD:Light		SIZE:M	DAMAGE:0	CRITRANGE:1	CRITMULT:x2							SOURCEPAGE:MM2	RANGE:160								MODS:NO	PREABILITY:1,CATEGORY=Special Ability,Catoblepas ~ Death Ray
Pressure Dart	KEY:Clockwork Horror ~ Pressure Dart	PROFICIENCY:WEAPON|Pressure Dart	TYPE:Weapon.Natural.Ranged.Finesseable.Thrown.Dart	COST:0	WT:0	WIELD:Light		SIZE:S	DAMAGE:2d4	CRITRANGE:1	CRITMULT:x2							SOURCEPAGE:MM2	RANGE:20								MODS:NO	PREABILITY:1,CATEGORY=Special Ability,Electrum Clockwork Horror ~ Pressure Dart
																												
# Melee 																												
Notbora		PROFICIENCY:WEAPON|Notbora	TYPE:Weapon.Exotic.Melee.Standard.Slashing.TwoHanded.Double.Quarterstaff	COST:20	WT:2	WIELD:TwoHanded	SLOTS:2	SIZE:L	DAMAGE:2d6	CRITRANGE:1	CRITMULT:x2	EQMOD:WOOD	ALTTYPE:Melee.Exotic.Slashing.Quarterstaff	ALTDAMAGE:2d6	ALTCRITRANGE:2	ALTCRITMULT:x2	ALTEQMOD:STEEL	SOURCEPAGE:MM2										
																												
# Melee Specific Weapons																												
Scimitar	KEY:Kelvezu ~ Scimitar	PROFICIENCY:WEAPON|Scimitar	TYPE:Enhancement.Weapon.Melee.Martial.Specific.Slashing.Sword	COST:15	WT:1	WIELD:OneHanded		SIZE:M	DAMAGE:1d6	CRITRANGE:3	CRITMULT:x2	EQMOD:STEEL.MWORKW.WOUND_GRT						SOURCEPAGE:MM2									MODS:NO	
Dagger	KEY:Kelvezu ~ Dagger	PROFICIENCY:WEAPON|Dagger	TYPE:Enhancement.Weapon.Melee.Finesseable.Ranged.Thrown.Simple.Specific.Piercing.Slashing.Dagger	COST:2	WT:1	WIELD:Light		SIZE:M	DAMAGE:1d4	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL.MWORKW.WOUND						SOURCEPAGE:MM2	RANGE:10								MODS:NO	
Trident	KEY:Malebranche ~ Trident	PROFICIENCY:WEAPON|Trident	TYPE:Enhancement.Weapon.Melee.Martial.Ranged.Thrown.Specific.Piercing.Trident	COST:15	WT:4	WIELD:OneHanded		SIZE:H	DAMAGE:2d8	CRITRANGE:1	CRITMULT:x2	EQMOD:STEEL.MWORKW						SOURCEPAGE:MM2	RANGE:10								MODS:NO	
																												
# Ranged																												
																												
																												
# Ranged Specific Weapons																												
