SOURCELONG:Monster Manual 2	SOURCESHORT:MM2	SOURCEWEB:http://www.gozzilioni.net																																																																								
#MM2 aggiornato alla 3.5																																																																										
																																																																										
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells										
Abeil (Vassal)	OUTPUTNAME:[NAME] Abeil	FAVCLASS:Druid	STARTFEATS:1	SIZE:M	MOVE:Walk,30,Fly,60	FACE:5	REACH:5	VISION:Darkvision (60')												BONUS:STAT|DEX|2			BONUS:STAT|WIS|4	BONUS:STAT|CHA|-2			MONCSKILL:TYPE.Craft|TYPE.Knowledge|Listen|Search|Survival			AUTO:WEAPONPROF|Javelin|Flail						LEGS:4	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Sting,Weapon.Natural.Finesseable.Melee.Piercing,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Poison									MONSTERCLASS:Monstrous Humanoid:1	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Abeil	TYPE:Monstrous Humanoid						LEVELADJUSTMENT:4	CR:2	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|3								
Abeil (Soldier)	OUTPUTNAME:[NAME] Abeil	FAVCLASS:Ranger	STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,90	FACE:5	REACH:10	VISION:Darkvision (60')											BONUS:STAT|STR|12	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|-2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Listen|Sense Motive|Spot|Survival			AUTO:WEAPONPROF|Ranseur|Longbow						LEGS:4	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Sting,Weapon.Natural.Finesseable.Melee.Piercing,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Poison				ABILITY:Special Ability|AUTOMATIC|Stormwing			DR:5/Magic		MONSTERCLASS:Monstrous Humanoid:6	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Abeil	TYPE:Monstrous Humanoid						LEVELADJUSTMENT:5	CR:6	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|4								
Abeil (Queen)	OUTPUTNAME:[NAME] Abeil	FAVCLASS:Druid	STARTFEATS:1	SIZE:M	MOVE:Walk,40,Fly,80	FACE:5	REACH:5	VISION:Darkvision (60')											BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|10	BONUS:STAT|CHA|8			MONCSKILL:Concentration|Diplomacy|Knowledge (Nobility and Royalty)|Knowledge (Nature)|Listen|Sense Motive|Spot|Survival			AUTO:WEAPONPROF|Sickle|Longbow		VFEAT:Great Fortitude				LEGS:4	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Sting,Weapon.Natural.Finesseable.Melee.Piercing,*1,2d4		ABILITY:Special Ability|AUTOMATIC|Poison						SR:21	DR:10/Magic		MONSTERCLASS:Abeil Queen:14	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Abeil	TYPE:Monstrous Humanoid							CR:12	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|4								
Ash Rat			STARTFEATS:1	SIZE:S	MOVE:Walk,40,Climb,20	FACE:5	REACH:5	VISION:Darkvision (60')|Low-light		PREALIGN:CN			BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Climb|DEX-STR	BONUS:SKILL|Climb|8|TYPE=Racial			BONUS:STAT|STR|-4	BONUS:STAT|DEX|8		BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-8			MONCSKILL:Climb|Hide|Move Silently									LEGS:4					NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Flame Spit	ABILITY:Special Ability|AUTOMATIC|Heat	ABILITY:Special Ability|AUTOMATIC|Fire Heal	ABILITY:Special Ability|AUTOMATIC|Smoky Hide	ABILITY:Special Ability|AUTOMATIC|Ash Rat Skills					MONSTERCLASS:Magical Beast:1	RACETYPE:Magical Beast	RACESUBTYPE:Fire	TYPE:Magical Beast					HITDICEADVANCEMENT:3		CR:1	SOURCEPAGE:MM2											
Asperi			STARTFEATS:1	SIZE:L	MOVE:Walk,60,Fly,30	FACE:10	REACH:5	VISION:Darkvision (60')|Low-light		PREALIGN:NG	AUTO:LANG|Telepathy		BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|2	BONUS:STAT|CON|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|2				MONCSKILL:Intimidate|Listen|Spot|Survival									LEGS:4					NATURALATTACKS:Hoof,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Dodge Arrows	ABILITY:Special Ability|AUTOMATIC|Ride the Wind	ABILITY:Special Ability|AUTOMATIC|Telepathy	ABILITY:Special Ability|AUTOMATIC|Wind Immunity						MONSTERCLASS:Magical Beast:4	RACETYPE:Magical Beast	RACESUBTYPE:Cold	TYPE:Magical Beast					HITDICEADVANCEMENT:6		CR:4	SOURCEPAGE:MM2	ABILITY:Special Ability|AUTOMATIC|Feather Fall (Sp)|Asperi Feather Fall	ABILITY:SPECIAL Ability|AUTOMATIC|Training ~ Asperi|Flight Maneuverability	BONUS:VAR|Maneuverability|4	BONUS:VAR|TelepathyRange|60	ABILITY:Special Ability|AUTOMATIC|Uncanny Dodge ~ Base	BONUS:VAR|UncannyDodgeFlankingLevel|HD|TYPE=EachClass.STACK	BONUS:VAR|UncannyDodgeLevel|2				
Automaton (Pulverizer)	OUTPUTNAME:[NAME]			SIZE:M	MOVE:Walk,40	FACE:5	REACH:5	VISION:Blindsight (40')|Darkvision (60')		PREALIGN:TN			BONUS:COMBAT|AC|11|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10				BONUS:STAT|WIS|-2	BONUS:STAT|CHA|-6												LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d6		ABILITY:Special Ability|AUTOMATIC|Sonic Shriek									MONSTERCLASS:Construct:5	RACETYPE:Construct	RACESUBTYPE:Automaton	TYPE:Construct	TEMPLATE:Mindless				HITDICEADVANCEMENT:8,9		CR:4	SOURCEPAGE:MM2		BONUS:VAR|BreathWeaponCone|30	BONUS:VAR|BreathWeaponDice|1								
Automaton (Hammerer)	OUTPUTNAME:[NAME]			SIZE:M	MOVE:Walk,20	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:TN			BONUS:COMBAT|AC|11|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|15				BONUS:STAT|WIS|-2	BONUS:STAT|CHA|-6												LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d8											MONSTERCLASS:Construct:3	RACETYPE:Construct	RACESUBTYPE:Automaton	TYPE:Construct	TEMPLATE:Mindless				HITDICEADVANCEMENT:8,15		CR:4	SOURCEPAGE:MM2											
Avolakia		FAVCLASS:Sorcerer	STARTFEATS:1	SIZE:L	MOVE:Walk,20	FACE:10	REACH:10	VISION:Darkvision (60')			AUTO:LANG|Avolakian				BONUS:SKILL|Escape Artist|10|TYPE=Racial				BONUS:STAT|STR|8	BONUS:STAT|DEX|6	BONUS:STAT|CON|6	BONUS:STAT|INT|6	BONUS:STAT|WIS|10	BONUS:STAT|CHA|12			MONCSKILL:Bluff|Concentration|Diplomacy|Intimidate|Sense Motive|Spellcraft					VFEAT:Multiattack				LEGS:6	HANDS:8				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*8,1d4		ABILITY:Special Ability|AUTOMATIC|Poison	ABILITY:Special Ability|AUTOMATIC|Suggestion (Sp)	ABILITY:Special Ability|AUTOMATIC|Defensive Aura|Avolakia Defensive Aura	ABILITY:Special Ability|AUTOMATIC|Resistance to Fire	ABILITY:Special Ability|AUTOMATIC|Immunity To Cold|Immunity To Disease|Immunity To Energy Drain|Immunity To Paralysis	ABILITY:Special Ability|AUTOMATIC|Regeneration	SR:21			MONSTERCLASS:Aberration:10	RACETYPE:Aberration	RACESUBTYPE:Shapechanger	TYPE:Aberration						LEVELADJUSTMENT:5	CR:10	SOURCEPAGE:MM2	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=14|Chill Touch|Cause Fear|Detect Magic|Disrupt Undead|Gentle Repose|Ghoul Touch|Halt Undead|Mage Hand|Read Magic|Spectral Hand	SPELLS:Innate|TIMES=3|CASTERLEVEL=14|Animate Dead|Create Undead|Enervation|Vampiric Touch	SPELLS:Innate|TIMES=CHA|CASTERLEVEL=10|Suggestion	ABILITY:Special Ability|AUTOMATIC|Change Shape	BONUS:VAR|FireResistanceBonus|10	BONUS:VAR|RegenerationRate|4					
Banshee			STARTFEATS:1	SIZE:M	MOVE:Fly,80	FACE:5	REACH:5													BONUS:STAT|DEX|6		BONUS:STAT|INT|6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|6			MONCSKILL:Balance|Hide|Jump|Knowledge (Nature)|Knowledge (Religion)|Listen|Search|Spot|Tumble					VFEAT:Iron Will				LEGS:2	HANDS:2				NATURALATTACKS:Incorporeal Touch,Weapon.Natural.Finesseable.Melee.Finesseable.Piercing,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Charisma Drain ~ Banshee 	ABILITY:Special Ability|AUTOMATIC|Horrific Appearance ~ Banshee|Banshee Horrific Appearance	ABILITY:Special Ability|AUTOMATIC|Wail	ABILITY:Special Ability|AUTOMATIC|Detect Living (Sp)|Banshee Detect Living	ABILITY:Special Ability|AUTOMATIC|Stunt Plants|Banshee Stunt Plants		SR:28			MONSTERCLASS:Undead:26	RACETYPE:Undead	RACESUBTYPE:Incorporeal	TYPE:Undead					HITDICEADVANCEMENT:52		CR:17	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|4								
Bladeling		FAVCLASS:Fighter	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:LG,LN,LE	AUTO:LANG|Common	LANGBONUS:Infernal	BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE							BONUS:STAT|DEX|2							MONCSKILL:Bluff|Climb|Craft (Weaponsmithing)|Hide|Jump|Knowledge (The Planes)|Listen|Spot			AUTO:WEAPONPROF|Longsword						LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Razor Storm|Bladeling Razor Storm	ABILITY:Special Ability|AUTOMATIC|Resistance to Cold|Resistance to Fire	ABILITY:Special Ability|AUTOMATIC|Immunity to Acid|Immunity to Rust					DR:5/Magic and Bludgeoning		MONSTERCLASS:Outsider:2	RACETYPE:Outsider	RACESUBTYPE:Lawful	TYPE:Outsider						LEVELADJUSTMENT:2	CR:1	SOURCEPAGE:MM2		BONUS:VAR|ColdResistanceBonus|5	BONUS:VAR|FireResistanceBonus|5								
