SOURCELONG:Monster Manual 2	SOURCESHORT:MM2	SOURCEWEB:http://www.gozzilioni.net																																																																							
#MM2 aggiornato alla 3.5																																																																									
																																																																									
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells									
Dragon (Amethyst Wyrmling)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:S	MOVE:Walk,40,Fly,100,Burrow,20,Swim,10	FACE:5	REACH:5			PREALIGN:TN	AUTO:LANG|Draconic								BONUS:STAT|STR|2	BONUS:STAT|DEX|2	BONUS:STAT|CON|2									AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:3				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d4											MONSTERCLASS:Amethist Dragon:6	RACETYPE:Dragon	RACESUBTYPE:Earth	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Earth			HITDICEADVANCEMENT:8	LEVELADJUSTMENT:4	CR:4	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|3							
Dragon (Amethyst Very Young)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40,Fly,100,Burrow,20,Swim,10	FACE:5	REACH:5			PREALIGN:TN	AUTO:LANG|Draconic								BONUS:STAT|STR|4	BONUS:STAT|DEX|2	BONUS:STAT|CON|4									AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:3				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d4											MONSTERCLASS:Amethist Dragon:9	RACETYPE:Dragon	RACESUBTYPE:Earth	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Earth			HITDICEADVANCEMENT:11	LEVELADJUSTMENT:4	CR:5	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|2							
Dragon (Amethyst Young)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40,Fly,150,Burrow,20,Swim,10	FACE:5	REACH:5			PREALIGN:TN	AUTO:LANG|Draconic								BONUS:STAT|STR|6	BONUS:STAT|DEX|2	BONUS:STAT|CON|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:5				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d4											MONSTERCLASS:Amethist Dragon:12	RACETYPE:Dragon	RACESUBTYPE:Earth	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Earth			HITDICEADVANCEMENT:14	LEVELADJUSTMENT:5	CR:7	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|2							
Dragon (Amethyst Juvenile)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,150,Burrow,20,Swim,10	FACE:10	REACH:5			PREALIGN:TN	AUTO:LANG|Draconic								BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:5				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d4											MONSTERCLASS:Amethist Dragon:15	RACETYPE:Dragon	RACESUBTYPE:Earth	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Earth			HITDICEADVANCEMENT:17		CR:9	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|2							
Dragon (Amethyst Young Adult)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,150,Burrow,20,Swim,10	FACE:10	REACH:5			PREALIGN:TN	AUTO:LANG|Draconic								BONUS:STAT|STR|12	BONUS:STAT|DEX|2	BONUS:STAT|CON|8	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:6				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8											MONSTERCLASS:Amethist Dragon:18	RACETYPE:Dragon	RACESUBTYPE:Earth	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Earth			HITDICEADVANCEMENT:20		CR:12	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|2							
Dragon (Amethyst Adult)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,40,Fly,150,Burrow,20,Swim,10	FACE:15	REACH:10			PREALIGN:TN	AUTO:LANG|Draconic								BONUS:STAT|STR|16	BONUS:STAT|DEX|2	BONUS:STAT|CON|10	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:6				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8											MONSTERCLASS:Amethist Dragon:21	RACETYPE:Dragon	RACESUBTYPE:Earth	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Earth			HITDICEADVANCEMENT:23		CR:15	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|2							
Dragon (Amethyst Mature Adult)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,40,Fly,150,Burrow,20,Swim,10	FACE:15	REACH:10			PREALIGN:TN	AUTO:LANG|Draconic								BONUS:STAT|STR|18	BONUS:STAT|DEX|2	BONUS:STAT|CON|10	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8											MONSTERCLASS:Amethist Dragon:24	RACETYPE:Dragon	RACESUBTYPE:Earth	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Earth			HITDICEADVANCEMENT:26		CR:17	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|2							
Dragon (Amethyst Old)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,40,Fly,150,Burrow,20,Swim,10	FACE:15	REACH:10			PREALIGN:TN	AUTO:LANG|Draconic								BONUS:STAT|STR|20	BONUS:STAT|DEX|2	BONUS:STAT|CON|12	BONUS:STAT|INT|8	BONUS:STAT|WIS|8	BONUS:STAT|CHA|8						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8											MONSTERCLASS:Amethist Dragon:27	RACETYPE:Dragon	RACESUBTYPE:Earth	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Earth			HITDICEADVANCEMENT:29		CR:19	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|2							
Dragon (Amethyst Very Old)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,40,Fly,150,Burrow,20,Swim,10	FACE:15	REACH:10			PREALIGN:TN	AUTO:LANG|Draconic								BONUS:STAT|STR|22	BONUS:STAT|DEX|2	BONUS:STAT|CON|12	BONUS:STAT|INT|8	BONUS:STAT|WIS|8	BONUS:STAT|CHA|8						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8											MONSTERCLASS:Amethist Dragon:30	RACETYPE:Dragon	RACESUBTYPE:Earth	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Earth			HITDICEADVANCEMENT:32		CR:20	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|2							
Dragon (Amethyst Ancient)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:G	MOVE:Walk,40,Fly,200,Burrow,20,Swim,10	FACE:20	REACH:15			PREALIGN:TN	AUTO:LANG|Draconic								BONUS:STAT|STR|24	BONUS:STAT|DEX|2	BONUS:STAT|CON|14	BONUS:STAT|INT|10	BONUS:STAT|WIS|10	BONUS:STAT|CHA|10						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8											MONSTERCLASS:Amethist Dragon:33	RACETYPE:Dragon	RACESUBTYPE:Earth	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Earth			HITDICEADVANCEMENT:35		CR:22	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|1							
