SOURCELONG:Monster Manual 3	SOURCESHORT:MM3	SOURCEWEB:http://www.gozzilioni.net																																									
																																											
# BASICS																																											
# Feat Name	Type	visible		Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page		
Powerful Charge	TYPE:General.Fighter	VISIBLE:YES		PREATT:1																PRESIZEGTEQ:M		SAB:Powerful charge +%d6|PowerfulCharge	DEFINE:PowerfulCharge|SIZE-4	DESC:See Text																	SOURCEPAGE:MM3	BONUS:VAR|PowerfulCharge|1|PRESIZEEQ:C	
#
Extra Shifter Trait	TYPE:Shifter	VISIBLE:YES																		PRERACE:1,Shifter	PREVARGTEQ:ShifterFeats,2	BONUS:ABILITYPOOL|Shifter Trait|1		DESC:You manifest a second shifter trait while shifting.														BONUS:VAR|ShifterFeats|1			SOURCEPAGE:MM3, pag 150.	DEFINE:ShifterFeats|0	
Healing Factor	TYPE:Shifter	VISIBLE:YES													PRESTAT:1,CON=13					PRERACE:1,Shifter				DESC:When your current period of shifting ends, you heal a limited amount of damage.														BONUS:VAR|ShifterFeats|1			SOURCEPAGE:MM3, pag 150.	DEFINE:ShifterFeats|0	
Shifter Defense	TYPE:Shifter	VISIBLE:YES																		PRERACE:1,Shifter	PREVARGTEQ:ShifterFeats,2			DESC:By delving into your shifter heritage, you have developed the ability to ignore a little damage.														BONUS:VAR|ShifterFeats|1			SOURCEPAGE:MM3, pag 150.	DEFINE:ShifterFeats|0	
Shifter Instinct	TYPE:Shifter	VISIBLE:YES																		PRERACE:1,Shifter				DESC:Your heritage has given you sharp senses and quick reflexes.									BONUS:COMBAT|INITIATIVE|2				BONUS:SKILL|Listen,Sense Motive,Spot|1	BONUS:VAR|ShifterFeats|1			SOURCEPAGE:MM3, pag 150.	DEFINE:ShifterFeats|0	
Adamantine Body	TYPE:Warforged	VISIBLE:YES									PRELEVELMAX:1									PRERACE:1,Warforged				DESC:Increase body protection at cost of mobility.																	SOURCEPAGE:MM3, pag 192.	AUTO:EQUIP|Composite Plating (Adamantine Body)	
Improved Fortification	TYPE:Warforged	VISIBLE:YES		PREATT:6																PRERACE:1,Warforged				DESC:You are immune to sneak attack and critical hits.																	SOURCEPAGE:MM3, pag 192.	ABILITY:Special Ability|AUTOMATIC|Immunity To Sneak Attack	
Mithral Body	TYPE:Warforged	VISIBLE:YES									PRELEVELMAX:1									PRERACE:1,Warforged				DESC:Increase protection of your body.																	SOURCEPAGE:MM3, pag 192.	AUTO:EQUIP|Composite Plating (Mithral Body)	
###TODO: Mithral Fluidity:	BONUS:ARMORPROF=Composite Plating|MAXDEX|1	BONUS:ARMORPROF=Composite Plating|ACCHECK|-1
Mithral Fluidity	TYPE:Warforged	VISIBLE:YES				PREFEAT:1,Mithral Body														PRERACE:1,Warforged				DESC:You movement are more fluid than those of other warforged.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:MM3, pag 192.		
