SOURCELONG:Player's Handbook 2	SOURCESHORT:PHB2	SOURCEWEB:http://www.gozzilioni.net																																					
#																																							
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOS	FINE																											
# Class Name req	Requirements	FINE																																					
# Class Name 3	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE																														
# Class Name 4	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)																																		
#(level number)	ADD:SPELLCASTER o CAST	ADD:FEAT Proficiencies	(FEATAUTO)	(SA)	(SA)	(DOMAIN)	(BONUS)			(DEFINE)																													
CLASS:Beguiler	HD:6	TYPE:Base.PC	ABB:Beg	MAXLEVEL:20	SOURCEPAGE:PHB2	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE																														
#CLASS:Beguiler																																							
CLASS:Beguiler	STARTSKILLPTS:6	CSKILL:Appraise|Balance|Bluff|Climb|Concentration|Decipher Script|Diplomacy|Disable Device|Disguise|Escape Artist|Forgery|Gather Information|Hide|Jump|Knowledge (Arcana)|Knowledge (Local)|Listen|Move Silently|Open Lock|TYPE.Profession|Search|Sense Motive|Sleight of Hand|Speak Language|Spellcraft|Spot|Swim|Tumble|Use Magic Device																																					
CLASS:Beguiler	SPELLSTAT:INT	SPELLTYPE:Arcane	MEMORIZE:NO		BONUS:CASTERLEVEL|Beguiler|CL																																		
1		ABILITY:Special Ability|AUTOMATIC|Weapon and Armor Proficiency ~ Beguiler|!PREABILITY:1,CATEGORY=ACF,TYPE.BeguilerProficiencies
#																																							
1	CAST:5,3	KNOWN:5,3		ABILITY:Special Ability|AUTOMATIC|Armored Mage|Beguiler Armored Mage|Trapfinding																																			
2	CAST:6,4	KNOWN:6,4		ABILITY:Special Ability|AUTOMATIC|Cloaked Casting|Surprise Casting			BONUS:VAR|CloakedCastingDC|1	BONUS:VAR|CloakedCastingSR|2																															
3	CAST:6,5	KNOWN:6,5				BONUS:ABILITYPOOL|Advanced Learning|(CL+1)/4																																	
4	CAST:6,6,3	KNOWN:6,6,3																																					
5	CAST:6,6,4	KNOWN:6,6,4	VFEAT:Silent Spell																																				
6	CAST:6,6,5,3	KNOWN:6,6,5,3																																					
7	CAST:6,6,6,4	KNOWN:6,6,6,4																																					
8	CAST:6,6,6,5,3	KNOWN:6,6,6,5,3					BONUS:VAR|CloakedCastingOvercome|1																																
9	CAST:6,6,6,6,4	KNOWN:6,6,6,6,4																																					
10	CAST:6,6,6,6,5,3	KNOWN:6,6,6,6,5,3	VFEAT:Still Spell																																				
11	CAST:6,6,6,6,6,4	KNOWN:6,6,6,6,6,4																																					
12	CAST:6,6,6,6,6,5,3	KNOWN:6,6,6,6,6,5,3																																					
13	CAST:6,6,6,6,6,6,4	KNOWN:6,6,6,6,6,6,4																																					
14	CAST:6,6,6,6,6,6,5,3	KNOWN:6,6,6,6,6,6,5,3					BONUS:VAR|CloakedCastingDC|1																																
15	CAST:6,6,6,6,6,6,6,4	KNOWN:6,6,6,6,6,6,6,4																																					
16	CAST:6,6,6,6,6,6,6,5,3	KNOWN:6,6,6,6,6,6,6,5,3																																					
17	CAST:6,6,6,6,6,6,6,6,4	KNOWN:6,6,6,6,6,6,6,6,4																																					
18	CAST:6,6,6,6,6,6,6,6,5,3	KNOWN:6,6,6,6,6,6,6,6,5,3																																					
19	CAST:6,6,6,6,6,6,6,6,6,4	KNOWN:6,6,6,6,6,6,6,6,6,4																																					
20	CAST:6,6,6,6,6,6,6,6,6,5	KNOWN:6,6,6,6,6,6,6,6,6,5					BONUS:VAR|CloakedCastingOvercome|1																																
#																																							
CLASS:Dragon Shaman	HD:10	TYPE:Base.PC	ABB:Dsh	MAXLEVEL:20	SOURCEPAGE:PHB2	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE	EXCLASS:Ex Dragon Shaman																													
CLASS:Dragon Shaman	PREALIGN:LG,LN,LE,NG,NE,CG,CN,CE																																						
CLASS:Dragon Shaman	STARTSKILLPTS:2	CSKILL:Climb|TYPE.Craft|Intimidate|Knowledge (Nature)|Search	LANGBONUS:Draconic																																				
SUBCLASS:Black Dragon Shaman	COST:1	PREALIGN:NE,CE,CN																																					
SUBCLASSLEVEL:1		CSKILL:Hide|Move Silently|Swim																																					
SUBCLASSLEVEL:2		BONUS:ABILITYPOOL|Dragon Shaman Feat|1+(CL/8)																																					
