SOURCELONG:Player's Handbook 2	SOURCESHORT:PHB2	SOURCEWEB:http://www.gozzilioni.net
		
#Teleport	CLASSES:Sorcerer,Wizard=5	TYPE:Arcane.Divine
Dancing Lights.MOD	CLASSES:Beguiler=0	TYPE:Arcane
Daze.MOD	CLASSES:Beguiler=0	TYPE:Arcane
Detect Magic.MOD	CLASSES:Beguiler=0	TYPE:Arcane
Ghost Sound.MOD	CLASSES:Beguiler=0	TYPE:Arcane
Message.MOD	CLASSES:Beguiler=0	TYPE:Arcane
Open/Close.MOD	CLASSES:Beguiler=0	TYPE:Arcane
Read Magic.MOD	CLASSES:Beguiler=0	TYPE:Arcane
Charm Person.MOD	CLASSES:Beguiler=1	TYPE:Arcane
Color Spray.MOD	CLASSES:Beguiler=1	TYPE:Arcane
Comprehend Languages.MOD	CLASSES:Beguiler=1	TYPE:Arcane
Detect Secret Doors.MOD	CLASSES:Beguiler=1	TYPE:Arcane
Disguise Self.MOD	CLASSES:Beguiler=1	TYPE:Arcane
Expeditious Retreat.MOD	CLASSES:Beguiler=1	TYPE:Arcane
Hypnotism.MOD	CLASSES:Beguiler=1	TYPE:Arcane
Mage Armor.MOD	CLASSES:Beguiler=1	TYPE:Arcane
Obscuring Mist.MOD	CLASSES:Beguiler=1	TYPE:Arcane
Rouse.MOD	CLASSES:Beguiler=1	TYPE:Arcane
Silent Image.MOD	CLASSES:Beguiler=1	TYPE:Arcane
Sleep.MOD	CLASSES:Beguiler=1	TYPE:Arcane
Undetectable Alignment.MOD	CLASSES:Beguiler=1	TYPE:Arcane
Whelm.MOD	CLASSES:Beguiler=1	TYPE:Arcane
Blinding Color Surge.MOD	CLASSES:Beguiler=2	TYPE:Arcane
Blur.MOD	CLASSES:Beguiler=2	TYPE:Arcane
Daze Monster.MOD	CLASSES:Beguiler=2	TYPE:Arcane
Detect Thoughts.MOD	CLASSES:Beguiler=2	TYPE:Arcane
Fog Cloud.MOD	CLASSES:Beguiler=2	TYPE:Arcane
Glitterdust.MOD	CLASSES:Beguiler=2	TYPE:Arcane
Hypnotic Pattern.MOD	CLASSES:Beguiler=2	TYPE:Arcane
Invisibility.MOD	CLASSES:Beguiler=2	TYPE:Arcane
Knock.MOD	CLASSES:Beguiler=2	TYPE:Arcane
Minor Image.MOD	CLASSES:Beguiler=2	TYPE:Arcane
Mirror Image.MOD	CLASSES:Beguiler=2	TYPE:Arcane
Misdirection.MOD	CLASSES:Beguiler=2	TYPE:Arcane
See Invisibility.MOD	CLASSES:Beguiler=2	TYPE:Arcane
Silence.MOD	CLASSES:Beguiler=2	TYPE:Arcane
Spider Climb.MOD	CLASSES:Beguiler=2	TYPE:Arcane
Stay the Hand.MOD	CLASSES:Beguiler=2	TYPE:Arcane
Touch of Idiocy.MOD	CLASSES:Beguiler=2	TYPE:Arcane
Vertigo.MOD	CLASSES:Beguiler=2	TYPE:Arcane
Whelming Blast.MOD	CLASSES:Beguiler=2	TYPE:Arcane
Arcane Sight.MOD	CLASSES:Beguiler=3	TYPE:Arcane
Clairaudience/Clairvoyance.MOD	CLASSES:Beguiler=3	TYPE:Arcane
Crown of Veils.MOD	CLASSES:Beguiler=3	TYPE:Arcane
Deep Slumber.MOD	CLASSES:Beguiler=3	TYPE:Arcane
Dispel Magic.MOD	CLASSES:Beguiler=3	TYPE:Arcane
Displacement.MOD	CLASSES:Beguiler=3	TYPE:Arcane
Glibness.MOD	CLASSES:Beguiler=3	TYPE:Arcane
Halt.MOD	CLASSES:Beguiler=3	TYPE:Arcane
Haste.MOD	CLASSES:Beguiler=3	TYPE:Arcane
Hesitate.MOD	CLASSES:Beguiler=3	TYPE:Arcane
Hold Person.MOD	CLASSES:Beguiler=3	TYPE:Arcane
Inevitable Defeat.MOD	CLASSES:Beguiler=3	TYPE:Arcane
Invisibility Sphere.MOD	CLASSES:Beguiler=3	TYPE:Arcane
Legion of Sentinels.MOD	CLASSES:Beguiler=3	TYPE:Arcane
Major Image.MOD	CLASSES:Beguiler=3	TYPE:Arcane
Nondetection.MOD	CLASSES:Beguiler=3	TYPE:Arcane
Slow.MOD	CLASSES:Beguiler=3	TYPE:Arcane
Suggestion.MOD	CLASSES:Beguiler=3	TYPE:Arcane
Vertigo Field.MOD	CLASSES:Beguiler=3	TYPE:Arcane
Zone of Silence.MOD	CLASSES:Beguiler=3	TYPE:Arcane
Charm Monster.MOD	CLASSES:Beguiler=4	TYPE:Arcane
Confusion.MOD	CLASSES:Beguiler=4	TYPE:Arcane
Crushing Despair.MOD	CLASSES:Beguiler=4	TYPE:Arcane
Freedom of Movement.MOD	CLASSES:Beguiler=4	TYPE:Arcane
Invisibility (Greater).MOD	CLASSES:Beguiler=4	TYPE:Arcane
Mirror Image (Greater).MOD	CLASSES:Beguiler=4	TYPE:Arcane
Locate Creature.MOD	CLASSES:Beguiler=4	TYPE:Arcane
