SOURCELONG:Player's Handbook	SOURCESHORT:PHB2	SOURCEWEB:http://www.gozzilioni.net																								
																										
###Block: AB																										
# Spell Name	Output Name	Spell Variations	Type	CLASSES:	Domains granting the spell	SCHOOL:	Sub-School	Spell Descriptors	Components	Casting Time	Range	TARGETAREA:		Duration	SAVEINFO:	SPELLRES:	DESC:See text	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
Alter Fortune			TYPE:Arcane.Divine	CLASSES:Bard=3|Cleric=3|Druid=3|Sorcerer,Wizard=3		SCHOOL:Divination			COMPS:V, XP	CASTTIME:1 immediate action	RANGE:Close	TARGETAREA:One creature		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2			XPCOST:200					
Animalistic Power			TYPE:Arcane.Divine	CLASSES:Cleric=2|Druid=2|Ranger=2|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Animalistic Power (Mass)	OUTPUTNAME:Animalistic Power, Mass		TYPE:Arcane.Divine	CLASSES:Cleric=7|Druid=7|Sorcerer,Wizard=7		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level, no two of wich can be more than 30-ft apart		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
As the Frost			TYPE:Arcane.Divine	CLASSES:Druid=7|Sorcerer,Wizard=7		SCHOOL:Transmutation		DESCRIPTOR:Cold	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Blaeful Blink			TYPE:Arcane	CLASSES:Bard=4|Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:1 round/level	SAVEINFO:Fort negates	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Bigby's Disrupting Hand			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One hand of force		DURATION:1 minute	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Bigby's Helpful Hand			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:One hand of force		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Bigby's Striking Fist			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature		DURATION:Instantaneous	SAVEINFO:Reflex partial	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Bigby's Tripping Hand			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature		DURATION:Instantaneous	SAVEINFO:Reflex negate	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Bigby's Warding Hand			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One hand of force		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Black Karma Curse			TYPE:Arcane.Divine	CLASSES:Cleric=2|Sorcerer,Wizard=2		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Blade of Blood			TYPE:Arcane.Divine	CLASSES:Cleric=1|Sorcerer,Wizard=1		SCHOOL:Necromancy			COMPS:V, S	CASTTIME:1 swift action	RANGE:Touch	TARGETAREA:Weapon touched		DURATION:1 round/level or until discharged	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Blade Brothers			TYPE:Divine	CLASSES:Bard=2|Cleric=2		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Two willing creatures		DURATION:1 minute/level or until discharged	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Bleakness			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Evocation		DESCRIPTOR:Darkness|Evil	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:20-ft-radius emanation centered on a point in space		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Blessing of the Righteous			TYPE:Divine	CLASSES:Cleric=4|Paladin=4		SCHOOL:Evocation		DESCRIPTOR:Good	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:40 ft.	TARGETAREA:All allies in a 40-ft-radius burst centered on you		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Blinding Color Surge			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Illusion	SUBSCHOOL:Glamer		COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:You and one creature		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Blood Creepers			TYPE:Divine	CLASSES:Druid=5		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature		DURATION:1 round/level	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Bones of the Earth			TYPE:Divine	CLASSES:Druid=6		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Earth	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:60 ft.	TARGETAREA:One 5-ft diameter pillar of stone per round		DURATION:1 round/2 level	SAVEINFO:Reflex negate	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Bright Worms			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Fire	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft-radius spread		DURATION:1 round/level	SAVEINFO:Reflex half	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Burning Rage			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Call of Stone			TYPE:Arcane.Divine	CLASSES:Druid=4|Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature		DURATION:1 round/2 level	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Celerity			TYPE:Arcane.Divine	CLASSES:Bard=4|Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 immediate action	RANGE:Personal	TARGETAREA:You		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Celerity (Greater)	OUTPUTNAME:Celerity, Greater		TYPE:Arcane.Divine	CLASSES:Bard=8|Sorcerer,Wizard=8		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 immediate action	RANGE:Personal	TARGETAREA:You		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Celerity (Lesser)	OUTPUTNAME:Celerity, Lesser		TYPE:Arcane.Divine	CLASSES:Bard=2|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 immediate action	RANGE:Personal	TARGETAREA:You		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Chain Dispel			TYPE:Arcane.Divine	CLASSES:Cleric=8|Sorcerer,Wizard=8		SCHOOL:Abjuration			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One or more creatures, no two of wich are more than 30-ft apart		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Channelled Divine Health			TYPE:Divine	CLASSES:Cleric=4		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:See text	RANGE:See text	TARGETAREA:One creature		DURATION:Instantaneous	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Channelled Divine Shield			TYPE:Divine	CLASSES:Cleric=3		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:See text	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Channelled Pyroburst			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S	CASTTIME:See text	RANGE:Medium	TARGETAREA:See text		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Chasing Perfection			TYPE:Arcane.Divine	CLASSES:Cleric=6|Druid=6|Sorcerer,Wizard=6		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2		COST:50						
Cloud of Knives			TYPE:Arcane.Divine	CLASSES:Cleric=2|Sorcerer,Wizard=2		SCHOOL:Conjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Condemnation			TYPE:Arcane.Divine	CLASSES:Cleric=5|Sorcerer,Wizard=4		SCHOOL:Abjuration			COMPS:V	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One outsider		DURATION:1 round	SAVEINFO:Will negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Crown of Clarity			TYPE:Arcane.Divine	CLASSES:Druid=3|Ranger=2|Sorcerer,Wizard=3		SCHOOL:Divination			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 hour/level or until discharged	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Crown of the Grave			TYPE:Arcane.Divine	CLASSES:Cleric=3|Sorcerer,Wizard=3		SCHOOL:Necromancy			COMPS:V, S, M, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 hour/level or until discharged	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Crown of Might			TYPE:Arcane.Divine	CLASSES:Cleric=3|Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 hour/level or until discharged	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Crown of Protection			TYPE:Arcane.Divine	CLASSES:Cleric=3|Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 hour/level or until discharged	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Crown of Smiting			TYPE:Divine	CLASSES:Cleric=3|Paladin=2		SCHOOL:Evocation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 hour/level or until discharged	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2		COST:25						
