SOURCELONG:Player's Handbook	SOURCESHORT:PHB2	SOURCEWEB:http://www.gozzilioni.net																								
																										
###Block: AB																										
# Spell Name	Output Name	Spell Variations	Type	CLASSES:	Domains granting the spell	SCHOOL:	Sub-School	Spell Descriptors	Components	Casting Time	Range	TARGETAREA:		Duration	SAVEINFO:	SPELLRES:	DESC:See text	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
Alter Fortune.MOD	DESC:Cause one creature to reroll any die roll.																									
Animalistic Power (Mass).MOD	DESC:As Animalistic Power, but multiple subjects																									
Animalistic Power.MOD	DESC:Subjects gains +2 bonus to STR, DEX and CON.																									
As the Frost.MOD	DESC:Transform into a creature of Cold.																									
Bigby's Disrupting Hand.MOD	DESC:Hand disrupts opponent's spellcasting.																									
Bigby's Helpful Hand.MOD	DESC:Hand helps the caster..																									
Bigby's Striking Fist.MOD	DESC:Hand deals 1d6 nonlethal damage/2 levels (max 5d6) and knocks subject back.																									
Bigby's Tripping Hand.MOD	DESC:Hand trips subject.																									
Bigby's Warding Hand.MOD	DESC:Hand of force slows opponent.																									
Black Karma Curse.MOD	DESC:Subject damages self with melee attack.																									
Blade Brothers.MOD	DESC:Use higher saving throw result between two creatures, but both suffer effects if the saves fail.																									
Blade of Blood.MOD	DESC:Weapon deals +1d6 damage, or 3d6 if you take 5 points of damage.																									
Blaeful Blink.MOD	DESC:Subject has 50%% chance of failure on attacks and spells.																									
Bleakness.MOD	DESC:1d6 damage/round to living creatures, grants undead turn resistance and fast healing.																									
Blessing of the Righteous.MOD	DESC:Weapons deal +1d6 holt damage and become good-aligned.																									
Blinding Color Surge.MOD	DESC:Blind subject for 1 round, gain Invisibility.																									
Blood Creepers.MOD	DESC:Vines deal 1/level damage for multiple rounds and entangle one creature.																									
Bones of the Earth.MOD	DESC:Create pillars of stone.																									
Bright Worms.MOD	DESC:Fiery worms damage enemies within 20-ft spread.																									
Burning Rage.MOD	DESC:Subject takes 4 points of damage/round, gains attack bonus and DR.																									
Call of Stone.MOD	DESC:Slowly turn subject to stone.																									
Celerity (Greater).MOD	DESC:Take a full round action immediately, but be dazed for a round.																									
Celerity (Lesser).MOD	DESC:Take a move action immediately, but be dazed for a round.																									
Celerity.MOD	DESC:Take a standard action immediately, but be dazed for a round.																									
Chain Dispel.MOD	DESC:Dispel multiple magical effects in multiple creatures.																									
Channelled Divine Health.MOD	DESC:Heal a creature, amount and range based on caasting time.																									
Channelled Divine Shield.MOD	DESC:Gain DR, amount based on casting time.																									
Channelled Pyroburst.MOD	DESC:Deal fire damage, amount and radius based on casting time.																									
