SOURCELONG:Spell Compendium	SOURCESHORT:SpC	SOURCEWEB:http://www.gozzilioni.net																												
																														
# Spell Name	OUTPUTNAME:	Spell Variations	TYPE:	CLASSES:	DOMAINS:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:		DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose				
Aganazzar's Scorcher.MOD	OUTPUTNAME:Scorch																													
Air Bubble.MOD	OUTPUTNAME:Deep Breath																													
Alamanther's Return.MOD	OUTPUTNAME:Replicate Casting																													
Alarm (Improved).MOD	OUTPUTNAME:Alarm (Greater)																													
Analyze Opponent.MOD	OUTPUTNAME:Know Opponent																													
Assay Resistance.MOD	OUTPUTNAME:Assay Spell Resistance																													
Auril's Flowers.MOD	OUTPUTNAME:Ice Flowers																													
Azuth's Exalted Triad.MOD	OUTPUTNAME:Triadspell																													
Azuth's Spell Shield.MOD	OUTPUTNAME:Spell Resistance, Mass																												
Balagarn's Iron Horn.MOD	OUTPUTNAME:Ironthunder Horn																													
Bane Bow.MOD	OUTPUTNAME:Foebane																													
Barien's Crabwalk.MOD	OUTPUTNAME:Crabwalk																													
Bigby's Slapping Hand.MOD	OUTPUTNAME:Slapping Hand																													
Bridge of Sound.MOD	OUTPUTNAME:Dark Way																													
Caligarde's Claw.MOD	OUTPUTNAME:Force Claw																													
Chamber.MOD	OUTPUTNAME:Ethereal Chamber																													
Chameleon.MOD	OUTPUTNAME:Camouflage																													
Claws of the Beast.MOD	OUTPUTNAME:Claws of the Bear																													
Climb.MOD	OUTPUTNAME:Climb Walls																													
Curse of Petty Failing.MOD	OUTPUTNAME:Curse of Ill Fortune																													
Curse of Petty Failing (Legion's).MOD	OUTPUTNAME:Curse of Ill Fortune, Mass																												
Darsson's Potion.MOD	OUTPUTNAME:Quick Potion																													
Dhulark's Glassstrike.MOD	OUTPUTNAME:Glass Strike																													
Eilistraee's Grace.MOD	OUTPUTNAME:Grace																													
Elminster's Effulgent Epuration.MOD	OUTPUTNAME:Effulgent Epuration																													
Elminster's Evasion.MOD	OUTPUTNAME:Instant Refuge																													
Favor of Ilmater.MOD	OUTPUTNAME:Favor of the Martyr																													
Force Ram.MOD	OUTPUTNAME:Battering Ram																													
Force Whip.MOD	OUTPUTNAME:Sonic Whip																													
Frost Finger.MOD	OUTPUTNAME:Frost Breath																													
Fugue of Tvash-Prull.MOD	OUTPUTNAME:Fugue																													
Gate Seal.MOD	OUTPUTNAME:Seal Portal (FRCS)																													
Ghorus Toth's Metal Melt.MOD	OUTPUTNAME:Metal Melt																													
Green Oath.MOD	OUTPUTNAME:Plant Body																													
Grimwald's Greymantle.MOD	OUTPUTNAME:Greymantle																													
Guided Arrow.MOD	OUTPUTNAME:Guided Shot																													
Hand of Torm.MOD	OUTPUTNAME:Hand of the Faithful																													
Harmony.MOD	OUTPUTNAME:Inspirational Boost																													
Horizikaul's Boom.MOD	OUTPUTNAME:Sonic Blast																													
Horizikaul's Cough.MOD	OUTPUTNAME:Sonic Snap																													
Horizikaul's Versatile Vibration.MOD	OUTPUTNAME:Sonic Rumble																													
Igedrazaar's Miasma.MOD	OUTPUTNAME:Malevolent Miasma																													
Ironguard (Greater).MOD	OUTPUTNAME:Ironguard																													
Kaupaer's Skittish Nerves.MOD	OUTPUTNAME:Nerveskitter																													
Kelemvor's Grace.MOD	OUTPUTNAME:Life's Grace																													
Khelben's Suspended Silence.MOD	OUTPUTNAME:Suspended Silence																													
Laeral's Cutting Hand.MOD	OUTPUTNAME:Cutting Hand																													
Laogzed's Breath.MOD	OUTPUTNAME:Nauseating Breath																													
Leomund's Hidden Lodge.MOD	OUTPUTNAME:Hidden Lodge																													
Manifest (Mass).MOD	OUTPUTNAME:Make Manifest, Mass																												
Mestil's Acid Breath.MOD	OUTPUTNAME:Acid Breath																													
Mestil's Acid Sheath.MOD	OUTPUTNAME:Acid Sheath																													
Monstrous Regeneration.MOD	OUTPUTNAME:Vigor (Greater)																													
Mordenkainen's Buzzing Bee.MOD	OUTPUTNAME:Buzzing Bee																													
Mordenkainen's Force Missiles.MOD	OUTPUTNAME:Force Missiles																													
Mystra's Miasma.MOD	OUTPUTNAME:Magic Miasma																													
Nchaser's Glowing Orb.MOD	OUTPUTNAME:Glowing Orb																													
Nybor's Gentle Reminder.MOD	OUTPUTNAME:Rebuke																													
Nybor's Mild Admonishment.MOD	OUTPUTNAME:Rebuke, Greater																												
