SOURCELONG:Spell Compendium	SOURCESHORT:SpC	SOURCEWEB:http://www.gozzilioni.net																											
																													
# Spell Name	OUTPUTNAME:	Spell Variations	TYPE:	CLASSES:	DOMAINS:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:		DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose			
Maddening Scream			TYPE:Divine			SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.		DURATION:1d4+1 rounds	SAVEINFO:None	SPELLRES:Yes	DESC:Subject has -4 AC, no shield, Reflex save on 20 only.	SOURCEPAGE:SpC											
Maddening Whispers		VARIANTS:Hysteria|Panic|Violent Hallucination|Stupor	TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One creature/level.		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Inflict a condition from the list on the targets.	SOURCEPAGE:SpC											
Maelstrom			TYPE:Divine	CLASSES:Druid=8		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Water	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Long	TARGETAREA:A whirlpool 120 ft. wide and 60 ft. Deep.		DURATION:1 round/level	SAVEINFO:Reflex negates; See text	SPELLRES:No	DESC:Creates a maelstrom which affects waterborne creatures.	SOURCEPAGE:SpC											
Mage Armor (Greater)	OUTPUTNAME:Mage Armor, Greater		TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Force	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:No	DESC:As mage armor, except gain +6 armor bonus.	SOURCEPAGE:SpC					TEMPBONUS:PC|COMBAT|CA|6|TYPE=Armor				TEMPDESC:Grants armor bonus		
Mage Armor (Mass)	OUTPUTNAME:Mage Armor, Mass		TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Force	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level, no two of which are more than 30 ft. Apart.		DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:No	DESC:As mage armor, except it affects multiple creatures.	SOURCEPAGE:SpC					TEMPBONUS:ANYPC|COMBAT|CA|4|TYPE=Armor				TEMPDESC:Grants armor bonus		
Mage Hand (Greater)	OUTPUTNAME:Mage Hand, Greater		TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One object or creature weighting up to 40 lb.		DURATION:Concentration	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You can move target at will 20 ft in any direction or preform delicate operations.	SOURCEPAGE:SpC											
Magic Fang (Superior)	OUTPUTNAME:Magic Fang, Superior		TYPE:Divine	CLASSES:Druid=4|Ranger=4		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Every natural weapon you possess becomes enchanted to +1 per four caster levels [max +5 level 20]	SOURCEPAGE:SpC					TEMPBONUS:PC|WEAPONPROF=TYPE.Natural|TOHIT|%CHOICE/4|TYPE=Enhancement			CHOOSE:NUMBER|MIN=1|MAX=20|TITLE=Choose Choose caster level		TEMPBONUS:PC|WEAPONPROF=TYPE.Natural|DAMAGE|%CHOICE/4|TYPE=Enhancement	
Magic Miasma			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:30-ft-radius emanation, centered on a point in space.		DURATION:1 round/level	SAVEINFO:None; See text	SPELLRES:No	DESC:Creates a solid fog with additional penalties to casters.	SOURCEPAGE:SpC											
Malevolent Miasma			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:15-ft-radius burst.		DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:No	DESC:Cloud of toxic fog deals 1d4/caster level [max 5d4] of nonlethal damage.	SOURCEPAGE:SpC											
Make Manifest			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=6		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Cause one creature on a coexistant plane to appear on your plane.	SOURCEPAGE:SpC											
