SOURCELONG:Spell Compendium	SOURCESHORT:SpC	SOURCEWEB:http://www.gozzilioni.net																												
																														
# Spell Name	OUTPUTNAME:	Spell Variations	TYPE:	CLASSES:	DOMAINS:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:		DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose				
Sacred Haven			TYPE:Divine	CLASSES:Paladin=4		SCHOOL:Abjuration		DESCRIPTOR:Good	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:30-ft.	TARGETAREA:You and your allies in a 30-ft radius burst centered on you.		DURATION:1 minute	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Creatures gains +2 sacred bonus to AC, plus retains Dex even when flatfooted or attacked by invisible creature.	SOURCEPAGE:SpC					TEMPBONUS:ANYPC|COMBAT|AC|2|TYPE=Sacred							
Safe Clearing			TYPE:Divine	CLASSES:Ranger=3		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:10 minutes	RANGE:30-ft.	TARGETAREA:30-ft-radius emanation centered on you.		DURATION:1 hour/level	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:Creates an area safe from attack like sanctuary spell.	SOURCEPAGE:SpC												
Safety			TYPE:Divine	CLASSES:Cleric=3		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:10 minute/level	SAVEINFO:None or Will negates (harmless)	SPELLRES:No or Yes	DESC:Subject can find the shortest, most direct route to safety.	SOURCEPAGE:SpC												
Saltray			TYPE:Divine	CLASSES:Druid=2		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Ray.		DURATION:Instantaneous	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:Ranged touch attack deals 1d6 per two caster levels [max 5d6] and make a save or be stunned for 1 round.	SOURCEPAGE:SpC												
Sanctuary (Mass)	OUTPUTNAME:Sanctuary, Mass		TYPE:Divine	CLASSES:Cleric=5		SCHOOL:Abjuration			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level, no two of which are more than 30 ft. Apart.		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:No	DESC:Opponents can't attack you, and you can't attack.	SOURCEPAGE:SpC												
Sandblast			TYPE:Divine	CLASSES:Druid=1		SCHOOL:Evocation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:10-ft.	TARGETAREA:10-ft-radius burst, centered on you.		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Creatures in area take 1d6 nonlethal damage, any creature that fails the save is also stunned for 1 round.	SOURCEPAGE:SpC												
Sarcophagus of Stone			TYPE:Divine	CLASSES:Cleric=6		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Earth	COMPS:V, S, M, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One medium or smaller creature.		DURATION:Instantaneous	SAVEINFO:Reflex negates	SPELLRES:No	DESC:Airtight coffin.	SOURCEPAGE:SpC												
Scale Weakening			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Ray.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:Yes	DESC:Ranged touch attack reduces the targets naturally occuring natural armor by 1 pt per three caster levels [max 5].	SOURCEPAGE:SpC												
Scatterspray			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Six or more Diminutive or Fine objects, all within 1-ft of each other, whose total weight doesn't exceed 25-lb.		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:No	DESC:Scatters items in a 10 ft. Burst.	SOURCEPAGE:SpC												
Scent			TYPE:Divine	CLASSES:Druid=2|Ranger=1		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:10 minutes/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Bestows Scent ability with all the same powers.	SOURCEPAGE:SpC									TEMPBONUS:ANYPC|VAR|SpellScent|1			
