SOURCELONG:Spell Compendium	SOURCESHORT:SpC	SOURCEWEB:http://www.gozzilioni.net						
								
#Travel	SOURCEPAGE:SpellListI.rtf	SPELLLEVEL:DOMAIN|Travel=1|Longstrider|Travel=2|Locate Object|Travel=3|Fly|Travel=4|Dimension Door|Travel=5|Teleport|Travel=6|Find the Path|Travel=7|Teleport (Greater)|Travel=8|Phase Door|Travel=9|Astral Projection	DESC:For a total time per day of 1 round per cleric level you possess, you can act normally regardless of magical effects that impede movement as if you were affected by the spell freedom of movement. This effect occurs automatically as soon as it applies, lasts until it runs out or is no longer needed, and can operate multiple times per day (up to the total daily limit of rounds).This granted power is a supernatural ability.	CSKILL:Survival				
Balance	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Balance=1|Make Whole|Balance=2|Calm Emotions|Balance=3|Clarity of Mind|Balance=4|Dismissal|Balance=5|Sanctuary (Mass)|Balance=6|Banishment|Balance=7|Word of Balance|Balance=8|Protection from Spells|Balance=9|Weighed in the Balance	DESC:Once per day, as a free action, you can add your Wisdom modifier to your AC. This bonus lasts for 1 round per cleric level.					
Cavern	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Cavern=1|Detect Secret Doors|Cavern=2|Darkness|Cavern=3|Meld into Stone|Cavern=4|Leomund's Secure Shelter|Cavern=5|Passwall|Cavern=6|Find the Path|Cavern=7|Maw of Stone|Cavern=8|Earthquake|Cavern=9|Imprisonment	DESC:You gain the stonecunning ability (PHB 15). if you already have stonecunning, your racial bonus on checks to notice unusual stonework increase to +4.	ABILITY:Special Ability|AUTOMATIC|Stonecunning ~ Base	BONUS:VAR|StonecunningLevel|1			
Celerity	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Celerity=1|Expeditious Retreat|Celerity=2|Cat's Grace|Celerity=3|Blur|Celerity=4|Haste|Celerity=5|Tree Stride|Celerity=6|Wind Walk|Celerity=7|Cat's Grace (Mass)|Celerity=8|Blink (Greater)|Celerity=9|Time Stop	DESC:Your land speed is faster than the normal for your race by +10 feet. This benefit is lost if you are wearing medium or heavy armor or carrying a medium or heavy load.	BONUS:MOVEADD|TYPE=Walk|10|PREVARLT:ENCUMBERANCE,2,var("COUNT[EQTYPE.ARMOR.EQUIPPED.IS.HEAVY]"),1|TYPE=Enhancement				
Charm	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Charm=1|Charm Person|Charm=2|Calm Emotions|Charm=3|Suggestion|Charm=4|Good Hope|Charm=5|Charm Monster|Charm=6|Geas/Quest|Charm=7|Insanity|Charm=8|Demand|Charm=9|Dominate Monster	DESC:You can boost your CHA by 4 points once per day. Its effects last for 1 minute.	ABILITY:Special Ability|VIRTUAL|Domain ~ Charm Bonus
Cold	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Cold=1|Chill Touch|Cold=2|Chill Metal|Cold=3|Sleet Storm|Cold=4|Ice Storm|Cold=5|Wall of Ice|Cold=6|Cone of Cold|Cold=7|Control Weather|Cold=8|Polar Ray|Cold=9|Obedient Avalanche	DESC:You can turn or destroy fire creatures as a good cleric turns undead. Use these abilities %1 times per day|3+CHA	BONUS:ABILITYPOOL|Turn Fire|1|TYPE=DomainAbility	BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|classlevel("Cleric")|TYPE=Level.REPLACE	ABILITY:Special Ability|AUTOMATIC|Basic Turning|Domain ~ Fire Turning		
Community	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Community=1|Bless|Community=2|Status|Community=3|Prayer|Community=4|Tongues|Community=5|Rary's Telepathic Bond|Community=6|Heroes' Feast|Community=7|Refuge|Community=8|Mordenkainen's Magnificent Mansion|Community=9|Heal (Mass)	DESC:Use calm emotions as a spell-like ability once per day. Gain +2 bonus on Diplomacy checks.	ABILITY:Special Ability|AUTOMATIC|Calm Emotions (Sp)	BONUS:VAR|CalmEmotionsTimes|1	DEFINE:CalmEmotionsLVL|TL		
Competition	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Competition=1|Remove Fear|Competition=2|Zeal|Competition=3|Prayer|Competition=4|Divine Power|Competition=5|Righteous Might|Competition=6|Zealot Pact|Competition=7|Regenerate|Competition=8|Moment of Prescience|Competition=9|Visage of the Deity (Greater)	DESC:You gain a +1 bonus on opposed checks you make.					
Courage	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Courage=1|Remove Fear|Courage=2|Aid|Courage=3|Cloak of Bravery|Courage=4|Heroism|Courage=5|Valiant Fury|Courage=6|Heroes' Feast|Courage=7|Heroism (Greater)|Courage=8|Lion's Roar|Courage=9|Cloak of Bravery (Greater)	DESC:You radiate an aura of courage that grants all allies within 10 feet (including yourself) a +4 morale bonus on saving throws against fear effects. This supernatural ability functions while you are conscious.	ABILITY:Special Ability|VIRTUAL|Aura of Courage				
