SOURCELONG:Spell Compendium	SOURCESHORT:SpC	SOURCEWEB:http://www.gozzilioni.net																												
																														
# Spell Name	OUTPUTNAME:	Spell Variations	TYPE:	CLASSES:	DOMAINS:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:		DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose				
Faith Healing			TYPE:Divine	CLASSES:Blackguard=1|Cleric=1|Paladin=1		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.		DURATION:Instantaneous	SAVEINFO:Will half (harmless)	SPELLRES:Yes	DESC:Heal 8 + caster level [max +5] hit points.	SOURCEPAGE:SpC												
False Gravity			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Can walk/run on any solid surface you choose. Can fly 30 ft if you choose to fall; see text	SOURCEPAGE:SpC												
Familiar Pocket			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Universal			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One container or garnment with a pocket touched.		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Creates an extra-dimensional safe haven for a Tiny or smaller familiar.	SOURCEPAGE:SpC												
Fangs of the Vampire King			TYPE:Arcane.Divine	CLASSES:Assassin=3|Blackguard=3		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:You.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Gain fang attack that deals 1d6 + Str modifier damage and 1 point of Con.	SOURCEPAGE:SpC										TEMPBONUS:PC|VAR|SpellFangsOfTheVampireKings|1		
Fantastic Machine			TYPE:Divine			SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:a 10-ft machine.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Creates a machine capable of performing simple tasks you command.	SOURCEPAGE:SpC												
Fantastic Machine (Greater)	OUTPUTNAME:Fantastic Machine, Greater		TYPE:Divine			SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:a 10-ft machine.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:As fantastic machine, except you have more control; see text	SOURCEPAGE:SpC												
Favor of the Martyr			TYPE:Divine	CLASSES:Paladin=4		SCHOOL:Necromancy			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One willing creature.		DURATION:1 minute/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Become immune to nonlethal damage, charm and compulsion effects and attacks that fuction specifically by pain; see text	SOURCEPAGE:SpC										TEMPBONUS:ANYPC|VAR|SpellFavorOfTheMartyr|1		
Favorable Sacrifice			TYPE:Divine	CLASSES:Cleric=3		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Gain benefit from deity; see text.	SOURCEPAGE:SpC		COST:250										
Fearsome Grapple			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 immediate action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Grow two tentacles that grant +4 to grapple checks. If 9th level gain fur tenctacles increasing bonus to +8.	SOURCEPAGE:SpC					TEMPBONUS:PC|COMBAT|TOHIT.GRAPPLE|min((((CASTERLEVEL+8)/9)*4),8)|TYPE=Circumstance							
Fell the Greatest Foe			TYPE:Arcane.Divine	CLASSES:Assassin=2|Cleric=3|Paladin=2|Ranger=2		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 round/level	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:Deal 1d6 damage per size category difference.	SOURCEPAGE:SpC												
