SOURCELONG:Arms and Equipment Guide	SOURCESHORT:AaEG	SOURCEWEB:http://www.wizards.com																																
																																		
# Modifier Name	Unique Key		Type	Plus	Cost	Visible	Type granted	Keys to replace	Source Page	Requirements					Spell Res.	Damage Reduction	BONUS:EQM	BONUS:EQMWEAPON	Bonus to skill			Modify VAR			Special Property			Virtual Feat	Choose	Apply to both heads				
Whip_STR	KEY:WHIPSTR	NAMEOPT:NONAME	TYPE:Whip.Might		COST:0	VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:1,Might							BONUS:EQM|WEIGHTADD|1*%CHOICE												CHOOSE:NUMBER|MIN=-5|MAX=100|TITLE=STR mod	ASSIGNTOALL:YES	BONUS:ITEMCOST|TYPE.Whip|100*%CHOICE|PREVARGT:%CHOICE,0	BONUS:WEAPON|TOHIT|-2|PREVARGT:%CHOICE,STR	BONUS:WEAPON|DAMAGE|min(%CHOICE,STR)	SPROP:STR bonus to damage
																																		
#Material																																		
#Darksteel		KEY:DARKSTEEL_ARMR	TYPE:BaseMaterial.MasterworkQuality.Armor.Shield	COST:2000	VISIBLE:QUALIFY	ITYPE:Metal.Darksteel.Masterwork	REPLACES:MWORKA	SOURCEPAGE:MoF	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:1,Armor,Shield]					BONUS:EQMARMOR|ACCHECK|1|TYPE=Enhancement					SPROP:30hp/inch and 10 hardness	ABILITY:Special Ability|VIRTUAL|Resistance To Acid				ASSIGNTOALL:NO	DEFINE:AcidResistanceBonus|2									
Blended Quartz		KEY:BLND_QUARTZ_ARMR_LT	TYPE:BaseMaterial.MasterworkQuality.Armor	COST:2000	VISIBLE:QUALIFY	ITYPE:Metal.BlendedQuartz.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:2,Light.Armor]					BONUS:EQMARMOR|SPELLFAILURE|-20|TYPE=Enhancement			BONUS:EQM|WEIGHTMULT|2|TYPE=Enhancement		SPROP:15hp/inch and 8 hardness					ASSIGNTOALL:NO										
Blended Quartz		KEY:BLND_QUARTZ_ARMR_MED	TYPE:BaseMaterial.MasterworkQuality.Armor	COST:5000	VISIBLE:QUALIFY	ITYPE:Metal.BlendedQuartz.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:2,Medium.Armor]					BONUS:EQMARMOR|SPELLFAILURE|-20|TYPE=Enhancement			BONUS:EQM|WEIGHTMULT|2|TYPE=Enhancement		SPROP:15hp/inch and 8 hardness					ASSIGNTOALL:NO										
Blended Quartz		KEY:BLND_QUARTZ_ARMR_HVY	TYPE:BaseMaterial.MasterworkQuality.Armor	COST:10000	VISIBLE:QUALIFY	ITYPE:Metal.BlendedQuartz.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:2,Heavy.Armor]					BONUS:EQMARMOR|SPELLFAILURE|-20|TYPE=Enhancement			BONUS:EQM|WEIGHTMULT|2|TYPE=Enhancement		SPROP:15hp/inch and 8 hardness					ASSIGNTOALL:NO										
Blended Quartz		KEY:BLND_QUARTZ_SHLD	TYPE:BaseMaterial.MasterworkQuality.Shield	COST:2000*WT	VISIBLE:QUALIFY	ITYPE:Metal.BlendedQuartz.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:1,Shield]					BONUS:EQMARMOR|SPELLFAILURE|-20|TYPE=Enhancement			BONUS:EQM|WEIGHTMULT|2|TYPE=Enhancement		SPROP:15hp/inch and 8 hardness					ASSIGNTOALL:NO										
Blended Quartz		KEY:BLND_QUARTZ_WEAP	TYPE:BaseMaterial.MasterworkQuality.Weapon	COST:2000*WT	VISIBLE:QUALIFY	ITYPE:Metal.BlendedQuartz.Masterwork	REPLACES:MWORKW	SOURCEPAGE:AaEG	PRETYPE:2,Weapon,Metal								BONUS:EQM|WEIGHTMULT|2|TYPE=Enhancement		SPROP:15hp/inch and 8 hardness					ASSIGNTOALL:NO										
Bronzewood		KEY:BRNZWOOD_ARMR_LT	TYPE:BaseMaterial.MasterworkQuality.Armor	COST:1000	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:2,Light.Armor]								BONUS:EQM|WEIGHTMULT|0.9|TYPE=Enhancement		SPROP:20hp/inch and 10 hardness					ASSIGNTOALL:NO										
Bronzewood		KEY:BRNZWOOD_ARMR_MED	TYPE:BaseMaterial.MasterworkQuality.Armor	COST:4000	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:2,Medium.Armor]								BONUS:EQM|WEIGHTMULT|0.9|TYPE=Enhancement		SPROP:20hp/inch and 10 hardness					ASSIGNTOALL:NO										
