SOURCELONG:Gozzilioni	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																								
# questi incantesimi sono della 3.0 edizione. non dovrebbero probabilmente nemmeno esserci,																										
# ma sembrano ancora usati in giro per classi e mostri.																										
																										
###Block: AB																										
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	Target Area or Effect		Duration	Save Info	Spell Resistance	Description	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
#Detect Alignment	dove?																									
Emotion			TYPE:Arcane			SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:All living creature within a 15-th radius.		DURATION:Concentration	SAVEINFO:Will negates	SPELLRES:Yes	DESC:a single emotion of your choise arouse in the target	SOURCEPAGE:PHB30								
Enlarge			TYPE:Arcane			SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature, or one object of up to (CASTERLEVEL*10) cu. ft. in volume		DURATION:(CASTERLEVEL) minutes	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Object or creature grows +%1%%.|min(CASTERLEVEL*10,50)	SOURCEPAGE:PHB30	ITEM:Potion							
Invisibility to Animals			TYPE:Divine			SCHOOL:Abjuration                                                                                        			COMPS:S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:(CASTERLEVEL) creatures touched		DURATION:(CASTERLEVEL*10) minutes [D]	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Animals can't perceive (CASTERLEVEL) subjects.	SOURCEPAGE:PHB30	ITEM:Potion							
Invisibility to Undead			TYPE:Divine 			SCHOOL:Abjuration 			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:(CASTERLEVEL) touched creatures		DURATION:(CASTERLEVEL*10) minutes [D]	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Undead can't perceive (CASTERLEVEL) subjects	SOURCEPAGE:SRD	ITEM:Potion							
Random Action			TYPE:Divine			SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature		DURATION:1 round	SAVEINFO:Will negates	SPELLRES:Yes	DESC:the enchanted creature is compelled to act randomly	SOURCEPAGE:PHB30								
Status (Greater)	OUTPUTNAME:Status, Greater		TYPE:Divine			SCHOOL:Divination			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature touched/three levels		DURATION:(CASTERLEVEL) hours	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:As Status, but you can also cast a limited selection of spells though the link	SOURCEPAGE:DeitiesAndDemigodsUpdate								
Sticks to Snakes			TYPE:Divine			SCHOOL:Transmutation	SUBSCHOOL:Polymorph		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:transform 1d4+1/level sticks to vipers, small snakes, medium snakes or large viper.		DURATION:2 rounds/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Changes sticks into snakes	SOURCEPAGE:Sottinteso SS.								
Animal Friendship			TYPE:Divine			SCHOOL:Enchantment	SUBSCHOOL:Charm	DESCRIPTOR:Mind-Affecting	COMPS:V, S, M	CASTTIME:1 action	RANGE:Close	TARGETAREA:One animal		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Gains permanent animal companions.	SOURCEPAGE:srdspellsa.rtf								
Vanish			TYPE:Arcane			SCHOOL:Transmutation		DESCRIPTOR:Teleportation	COMPS:V	CASTTIME:1 action	RANGE:Touch	TARGETAREA:One touched object of up to 50lb/Lvl. And 3 cu. ft./Lvl		DURATION:Instantaneous	SAVEINFO:Will negates (object)	SPELLRES:Yes (object)	DESC:As teleport, but affects a touched object.	SOURCEPAGE:srdspellsuvwxyz.rtf								
