SOURCELONG:Gozzilioni Manual of the Planes	SOURCESHORT:MotP	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-09
																																
###Block: Proficiencies																																
# Ability Name	Category of Ability	TYPE:	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Acidic Vapor	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:When a mane is slain, it discorporates into a cloud of noxious vapor. Anyone within 10 feet of a slain mane who fails a Reflex save (DC 20) takes 1d6 points of acid damage.	KEY:Petitioner ~ Abyss Acidic Vapor																											SOURCEPAGE:MotP
No Planar Commitment	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Unlike most other petitioners, manes can leave the plane they call home.	KEY:Petitioner ~ Abyss No Planar Commitment																											SOURCEPAGE:MotP
Skills	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES		KEY:Petitioner ~ Carceri Skills									BONUS:SKILL|Bluff|10|TYPE=Racial																		SOURCEPAGE:MotP3.5upd
Wounding	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Every time a larva deals damage, the wound automatically bleeds for 1 additional point of damage every round until a Heal check (DC 15) is made or magical healing is applied.	KEY:Petitioner ~ Hades Wounding																											SOURCEPAGE:MotP
Disease	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Following a battle with larvae during which the larvae dealt any damage, wounded characters must make a Fortitude save (DC 17) or contract devil chills.	KEY:Petitioner ~ Hades Disease																											SOURCEPAGE:MotP
No Planar Commitment	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Unlike most other petitioners, larvae can be removed from Hades. Often, they are taken elsewhere to serve as food, barter, and basic "soulstuff" for fiendish projects, both demonic and devilish, that require such an esoteric component.	KEY:Petitioner ~ Hades No Planar Commitment																											SOURCEPAGE:MotP
Surefoot	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES		KEY:Petitioner ~ Gehenna Surefoot									BONUS:SKILL|Climb|10|Racial																		SOURCEPAGE:MotP
Mindless	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Lemures are immune to all mindinfluencing effects, and unless commanded, act as if feebleminded.	KEY:Petitioner ~ Baator Mindless																		ABILITY:Special Ability|VIRTUAL|Immunity To Mind-Affecting									SOURCEPAGE:MotP
No Planar Commitment	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Unlike most other petitioners, lemures can leave their home plane	KEY:Petitioner ~ Baator No Planar Commitment																											SOURCEPAGE:MotP
Hearted	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:All members of a renegade army within a 100-foot radius of a petitioner commander receive a +2 morale bonus on saving throws against charm and fear effects and a +1 morale bonus on attack and damage rolls.	KEY:Petitioner ~ Acheron Hearten																											SOURCEPAGE:MotP
Detect Chaos/Good	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The einheriar can detect chaos or detect good at will (as the spells cast by a 5th-level cleric).	KEY:Petitioner ~ Arcadia Detect Chaos/Good																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=5|Detect Chaos|Detect Good									SOURCEPAGE:MotP
Light Ray	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A lantern archon can attack with two light rays as +2 ranged touch attacks that deal 1d6 points of damage each, with a range of 30 feet.	KEY:Petitioner ~ Celestia Light Ray																											SOURCEPAGE:MotP
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:SpecialQuality.SpellLike	VISIBLE:YES		KEY:Petitioner ~ Celestia Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=3|Aid|Continual Flame|Detect Evil									SOURCEPAGE:MotP
Celestial Qualities	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES		KEY:Petitioner ~ Celestia Celestial Qualities									BONUS:VAR|PoisonResistanceBonus|4|TYPE=Racial									ABILITY:Special Ability|VIRTUAL|Petitioner ~ Celestia Aura of Menace|Petitioner ~ Celestia Magic Circle against Evil|Petitioner ~ Celestia Teleport|Petitioner ~ Celestia Tongues|Resistance To Poison									SOURCEPAGE:MotP
Aura of Menace	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:Will DC 11 negates.	KEY:Petitioner ~ Celestia Aura of Menace																											SOURCEPAGE:MotP
Magic Circle Against Evil	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A magic circle against evil effect always surrounds the petitioner.	KEY:Petitioner ~ Celestia Magic Circle against Evil																											SOURCEPAGE:MotP
Teleport	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES		KEY:Petitioner ~ Celestia Teleport																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=14|Teleport									SOURCEPAGE:MotP
