SOURCELONG:Gozzilioni Manual of the Planes	SOURCESHORT:MotP	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-09																													
																																
###Block: Proficiencies																																
# Ability Name	Category of Ability	TYPE:	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Race Traits ~ Astral Dreadnaught	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AstralDreadnaughtRaceTrait|Flight Maneuverability						DEFINE:AstralDreadnaughtSR|0					BONUS:VAR|Maneuverability|1	BONUS:VAR|AstralDreadnaughtSR|10+HD								SR:AstralDreadnaughtSR									
Severe Silver Cord	CATEGORY:Special Ability	TYPE:AstralDreadnaughtRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:If the astral dreadnought can attack an astral traveler's back (by flanking it, catching it flat-footed, or pursuing it while panicked and fleeing), it can attack the silver cord that connects the astral form to its material counterpart.	KEY:Astral Dreadnaught ~ Severe Silver Cord																											SOURCEPAGE:MotP
Improved Grab	CATEGORY:Special Ability	TYPE:AstralDreadnaughtRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:To use this ability, the astral dreadnought must hit with its bite attack. If it gets a hold, it automatically deals bite damage and can try to swallow the opponent. An astral dreadnought that hits with a claw attack grabs as above. If it gets a hold, it picks up the opponent and transfers it to the mouth as a partial action, automatically dealing bite damage as above.	KEY:Astral Dreadnaught ~ Improved Grab																											SOURCEPAGE:MotP
Swallow Whole	CATEGORY:Special Ability	TYPE:AstralDreadnaughtRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:The round after it grabs an opponent, an astral dreadnought can try to swallow it by making a successful grapple check. Once inside, the opponent takes 2d8+16 points of crushing damage plus 2d8 points of acid damage every round. A swallowed creature can crawl out of the gullet by making a successful grapple check. This returns it to the astral dreadnought's maw, where another successful grapple check is needed to get free. A swallowed creature can also cut its way out by using claws or a Small or Tiny slashing weapon to deal 35 points of damage to the gullet (AC 24). Once the creature exits, muscular action closes the hole; another swallowed creature must cut its own way out. The astral dreadnought's gullet can hold two Huge, four Large, eight Medium-size, sixteen Small, or thirtytwo Tiny or smaller opponents.	KEY:Astral Dreadnaught ~ Swallow Whole																											SOURCEPAGE:MotP
Rend	CATEGORY:Special Ability	TYPE:AstralDreadnaughtRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:An Astral  Dreadnaught that hits with both claw attacks latches onto the opponent's body and tears the flesh. This attack automatically deals an extra 4d6+%1 points of damage.|RendBonusDamage	KEY:Astral Dreadnaught ~ Rend																											SOURCEPAGE:MotP
Antimagic Cone	CATEGORY:Special Ability	TYPE:AstralDreadnaughtRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:An astral dreadnought's single eye continually produces a 150-foot a nt i m a g i c cone extending straight ahead from the creature's front.	KEY:Astral Dreadnaught ~ Antimagic Cone																											SOURCEPAGE:MotP
Frightful Presence	CATEGORY:Special Ability	TYPE:AstralDreadnaughtRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:The mere sight of an Astral Dreadnaught, it inspires terror in all creature within %1 feet that have fewer than 4 HD becomes panicked for 4d6 rounds, and those with 5 HD or more become shaken for 4d6 rounds. Each potentially affected opponent must succed at a Will save (DC %2).|FrightfulPresRange|FrightfulPresenceDC	KEY:Astral Dreadnaught ~ Frightful Presence				DEFINE:FrightfulPresenceRange|0	DEFINE:FrightfulPresenceDC|0				BONUS:VAR|FrightfulPresenceDC|DefaultDCCha	BONUS:VAR|FrightfulPresenceDC|2|PREFEAT:1,Ability Focus (Frightful Presence)	BONUS:VAR|FrightfulPresenceRange|200							ABILITY:Ability Focus|AUTOMATIC|Frightful Presence									SOURCEPAGE:MotP
																																
Race Traits ~ Uridezu	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=UridezuRaceTrait	AUTO:LANG|Abyssal|Celestial|Draconic					BONUS:VAR|AcidResistanceBonus|10|TYPE=Resistance	BONUS:VAR|ColdResistanceBonus|10|TYPE=Resistance	BONUS:VAR|FireResistanceBonus|10|TYPE=Resistance												AUTO:WEAPONPROF|Greatsword|Javelin									
Paralysis Bite	CATEGORY:Special Ability	TYPE:UridezuRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Those hit by an Uridezu's bite must succeed at a Fortitude save (DC %1) or be paralyzed for 2d6 minutes.	KEY:Uridezu ~ Paralysis Bite				DEFINE:ParalysisBiteDC|0					BONUS:VAR|ParalysisbBiteDC|DefaultDCCon	BONUS:VAR|ParalysisBiteDC|2|PREFEAT:1,Ability Focus (Paralysis Bite)																	SOURCEPAGE:MotP
Whip Tail	CATEGORY:Special Ability	TYPE:UridezuRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:An uridezu can wield its tail like a whip, generally to trip or disarm opponents. Even if it fails a trip or disarm attempt, the uridezu cannot lose its tail.	KEY:Uridezu ~ Whip Tail																											SOURCEPAGE:MotP
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:UridezuRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Uridezu ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=14|Darkness|Desecrate|Detect Good	SPELLS:Innate|TIMES=1|CASTERLEVEL=14|Unholy Blight,14+CHA								SOURCEPAGE:MotP
Rat Empathy	CATEGORY:Special Ability	TYPE:UridezuRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Normal and dire rats instinctively recognize an uridezu as their lord and master. This gives the uridezu a +4 racial bonus on checks when influencing the animal's attitude and allows the communication of simple concepts and commands such as "friend", "foe", "flee", and "attack".	KEY:Uridezu ~ Rat Empathy																											SOURCEPAGE:MotP
Summon Tanar'ri	CATEGORY:Special Ability	TYPE:UridezuRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:1/day summon 1 Uridezu 40%%.	KEY:Uridezu ~ Summon Tanar'ri																											SOURCEPAGE:MotP
																																
Race Traits ~ Armanite	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=ArmaniteRaceTrait	AUTO:LANG|Abyssal|Celestial|Draconic					BONUS:VAR|AcidResistanceBonus|10|TYPE=Resistance	BONUS:VAR|ColdResistanceBonus|10|TYPE=Resistance	BONUS:VAR|FireResistanceBonus|10|TYPE=Resistance												AUTO:WEAPONPROF|Lance|Flail									
Charge	CATEGORY:Special Ability	TYPE:ArmaniteRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:When armanites charge with lances, they deal double damage just as mounted lancers do.	KEY:Armanite ~ Charge	SERVESAS:ABILITY=FEAT|Mounted Combat																										SOURCEPAGE:MotP
Summon Tanar'ri	CATEGORY:Special Ability	TYPE:ArmaniteRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:1/day summon 1d10 dretches or another armanite 30%%.	KEY:Armanite ~ Summon Tanar'ri																											SOURCEPAGE:MotP
																																
Race Traits ~ Goristro	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=GoristroRaceTrait|Fast Healing	AUTO:LANG|Abyssal|Celestial|Draconic					BONUS:VAR|AcidResistanceBonus|10|TYPE=Resistance	BONUS:VAR|ColdResistanceBonus|10|TYPE=Resistance	BONUS:VAR|FireResistanceBonus|10|TYPE=Resistance			BONUS:VAR|FastHealing|5																		
Stamp	CATEGORY:Special Ability	TYPE:GoristroRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:%1/days, By stamping its massive feet on the ground, a goristro can produce a shock wave that sends its foes careening off-balance. The shock lasts 1 round, during which time creatures on the ground within 60 feet of the goristro can't move or attack. Spellcasters within range must make successful Concentration checks (DC 20 + spell level) or lose any spells they try to cast. All creatures standing in range must make Reflex saves or fall down.|StampTimes					DEFINE:StampTimes|0					BONUS:VAR|StampTimes|3																		SOURCEPAGE:MotP
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:GoristroRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES											BONUS:VAR|HasSeeInvisibility|1									SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=10|Cause Fear,11+CHA									SOURCEPAGE:MotP
Rock Throwing	CATEGORY:Special Ability	TYPE:GoristroRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Goristro are trained to throw rocks weighing 60 to 80 pounds. These missiles have a range increment of 140 feet.																												SOURCEPAGE:MotP
																																
Race Traits ~ Spinagon	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=SpinagonRaceTrait|Flight Maneuverability											BONUS:VAR|Maneuverability|3																		
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:SpinagonRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Spinagon ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=8|Disguise Self|Produce Flame|Scare|Stinking Cloud									SOURCEPAGE:MotP
Spike Regeneration	CATEGORY:Special Ability	TYPE:SpinagonRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A spinagon can fire two spikes from its body each round. These spikes regenerate within a round, so the spinagon has unlimited ammunition. The spikes have a range increment of 30 feet.	KEY:Spinagon ~ Spike Regeneration																		AUTO:WEAPONPROF|Spike	AUTO:EQUIP|Spinagon ~ Spike|Spinagon ~ Spike								SOURCEPAGE:MotP
