SOURCELONG:Gozzilioni Deities and Demigods	SOURCESHORT:DaD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2002-04																																																														
																																																																	
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells	SORTKEY:
Astral Dreadnaught			STARTFEATS:1	SIZE:G	MOVE:Fly,180	FACE:20	REACH:15			KIT:1|TN			BONUS:COMBAT|AC|16|TYPE=NaturalArmor						BONUS:STAT|STR|32	BONUS:STAT|DEX|-4	BONUS:STAT|CON|26	BONUS:STAT|INT|-6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|8			MONCSKILL:Hide|Move Silently|Search|Spot|Survival									LEGS:0	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Astral Dreadnaught									MONSTERCLASS:Outsider:18	RACETYPE:Outsider		TYPE:Outsider					HITDICEADVANCEMENT:32,54		CR:17	SOURCEPAGE:MotP		
# Bariaur																																																																	
# Eladrin (Firre)																																																																	
Demon (Uridezu)			STARTFEATS:1	SIZE:M	MOVE:Walk,40	FACE:5	REACH:5			KIT:1|CE			BONUS:COMBAT|AC|2|TYPE=NaturalArmor						BONUS:STAT|STR|2	BONUS:STAT|DEX|6	BONUS:STAT|CON|2	BONUS:STAT|INT|-2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|2			MONCSKILL:Balance|Hide|Jump|Listen|Move Silently|Search|Spot|Tumble									LEGS:2	HANDS:2	BONUS:WEAPONPROF=Tail Slap|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6	NATURALATTACKS:Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d2	ABILITY:Internal|AUTOMATIC|Race Traits ~ Uridezu							DR:5/Cold Iron or Good		MONSTERCLASS:Outsider:7	RACETYPE:Outsider	RACESUBTYPE:Tanar'ri|Chaotic|Evil	TYPE:Outsider					HITDICEADVANCEMENT:16,21	LEVELADJUSTMENT:6	CR:6	SOURCEPAGE:MotP3.5upd		
Demon (Armanite)			STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,40	FACE:10	REACH:5			KIT:1|CE			BONUS:COMBAT|AC|6|TYPE=NaturalArmor						BONUS:STAT|STR|10		BONUS:STAT|CON|6	BONUS:STAT|INT|-2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Bluff|Hide|Intimidate|Jump|Listen|Spot|Survival									LEGS:4	HANDS:2				NATURALATTACKS:Hoof,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Armanite							DR:5/Cold Iron or Good		MONSTERCLASS:Outsider:5	RACETYPE:Outsider	RACESUBTYPE:Tanar'ri|Chaotic|Evil	TYPE:Outsider					HITDICEADVANCEMENT:10,15	LEVELADJUSTMENT:8	CR:7	SOURCEPAGE:MotP3.5upd		
Demon (Goristro)			STARTFEATS:1	SIZE:H	MOVE:Walk,40	FACE:10	REACH:10			KIT:1|CE			BONUS:COMBAT|AC|16|TYPE=NaturalArmor						BONUS:STAT|STR|18	BONUS:STAT|DEX|-2	BONUS:STAT|CON|12	BONUS:STAT|INT|-6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|2			MONCSKILL:Balance|Intimidate|Jump|Listen|Sense Motive|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d6	NATURALATTACKS:Thrown Rock,Weapon.Natural.Ranged.Thrown.Bludgeoning,*1,2d8	ABILITY:Internal|AUTOMATIC|Race Traits ~ Goristro						SR:22	DR:10/Good		MONSTERCLASS:Outsider:16	RACETYPE:Outsider	RACESUBTYPE:Tanar'ri|Chaotic|Evil	TYPE:Outsider					HITDICEADVANCEMENT:23,48		CR:13	SOURCEPAGE:MotP3.5upd		
Devil (Spinagon)			STARTFEATS:1	SIZE:S	MOVE:Fly,120	FACE:5	REACH:5			KIT:1|LE			BONUS:COMBAT|AC|4|TYPE=NaturalArmor							BONUS:STAT|DEX|2		BONUS:STAT|INT|-2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Bluff|Diplomacy|Hide|Intimidate|Listen|Move Silently|Sense Motive|Spot									LEGS:2	HANDS:2	BONUS:WEAPONPROF=Talon|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Talon,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Spinagon						SR:18	DR:5/Silver or Good		MONSTERCLASS:Outsider:3	RACETYPE:Outsider	RACESUBTYPE:Baatezu|Lawful|Evil	TYPE:Outsider					HITDICEADVANCEMENT:6,9	LEVELADJUSTMENT:6	CR:4	SOURCEPAGE:MotP3.5upd		
Devil (Narzugon)			STARTFEATS:1	SIZE:M	MOVE:Walk,20	FACE:5	REACH:5			KIT:1|LE			BONUS:COMBAT|AC|4|TYPE=NaturalArmor						BONUS:STAT|STR|8	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|8			MONCSKILL:Bluff|Diplomacy|Handle Animal|Gather Information|Intimidate|Knowledge (The Planes)|Ride|Search|Sense Motive|Spot|Survival									LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Race Traits ~ Narzugon						SR:23	DR:10/Good		MONSTERCLASS:Outsider:10	RACETYPE:Outsider	RACESUBTYPE:Baatezu|Lawful|Evil	TYPE:Outsider						LEVELADJUSTMENT:8	CR:9	SOURCEPAGE:MotP3.5upd		
Energon (Xag-Ya)			STARTFEATS:1	SIZE:M	MOVE:Fly,20	FACE:5	REACH:5			KIT:1|TN										BONUS:STAT|DEX|6	BONUS:STAT|CON|2	BONUS:STAT|INT|-4		BONUS:STAT|CHA|8			MONCSKILL:Hide|Spot									LEGS:0	HANDS:10				NATURALATTACKS:Incorporeal touch,Weapon.Natural.Melee.Finesseable.Piercing,*4,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Xag-Ya									MONSTERCLASS:Elemental:5	RACETYPE:Elemental	RACESUBTYPE:Energon|Incorporeal	TYPE:Elemental					HITDICEADVANCEMENT:9,15		CR:4	SOURCEPAGE:MotP3.5upd		
Energon (Xeg-Yi)			STARTFEATS:1	SIZE:M	MOVE:Fly,20	FACE:5	REACH:5			KIT:1|TN										BONUS:STAT|DEX|6	BONUS:STAT|CON|2	BONUS:STAT|INT|-4		BONUS:STAT|CHA|8			MONCSKILL:Hide|Spot									LEGS:0	HANDS:10				NATURALATTACKS:Incorporeal touch,Weapon.Natural.Melee.Finesseable.Piercing,*4,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Xag-Ya									MONSTERCLASS:Elemental:5	RACETYPE:Elemental	RACESUBTYPE:Energon|Incorporeal	TYPE:Elemental					HITDICEADVANCEMENT:9,15		CR:4	SOURCEPAGE:MotP3.5upd		
