SOURCELONG:Gozzilioni Manual of the Planes	SOURCESHORT:MotP	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-09																			
																						
###Block: Class																						
# Template Name	Visible	Source Page	Special Ability																			
Half-Elemental	VISIBLE:YES	SOURCEPAGE:MotP	PRESTAT:1,INT=4	!PRERACE:1,RACETYPE=Elemental	!PRETEMPLATE:1,Incorporeal	TEMPLATE:CHOOSE:Half-Elemental ~ Air|Half-Elemental ~ Earth|Half-Elemental ~ Fire|Half-Elemental ~ Water	RACETYPE:Outsider	ABILITY:Special Ability|AUTOMATIC|Immunity To Disease|Resistance To Poison	BONUS:VAR|PoisonResistanceBonus|4|TYPE=Racial	BONUS:MISC|CR|2												
Air	VISIBLE:NO	SOURCEPAGE:MotP	KEY:Half-Elemental ~ Air	SUBRACE:Half-Air Elemental	BONUS:COMBAT|AC|1|TYPE=NaturalArmor.STACK	ABILITY:Special Ability|AUTOMATIC|Immunity To Cold Effects		BONUS:STAT|DEX|2	BONUS:STAT|CON|2	BONUS:STAT|INT|2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Obscuring Mist|PRELEVEL:MIN=1|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Wind Wall|PRELEVEL:MIN=3|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Gaseous Form|PRELEVEL:MIN=5|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Air Walk|PRELEVEL:MIN=7|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Control Winds|PRELEVEL:MIN=9|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Chain Lightning|PRELEVEL:MIN=11|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Control Weather|PRELEVEL:MIN=13|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Whirlwind|PRELEVEL:MIN=15|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Elemental Swarm|PRELEVEL:MIN=17|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Plane Shift|PRELEVEL:MIN=19|PRESTAT:1,INT=8,WIS=8
Earth 	VISIBLE:NO	SOURCEPAGE:MotP	KEY:Half-Elemental ~ Earth	SUBRACE:Half-Earth Elemental	BONUS:COMBAT|AC|3|TYPE=NaturalArmor.STACK	ABILITY:Special Ability|AUTOMATIC|Immunity To Earth Effects	BONUS:STAT|STR|4	BONUS:STAT|DEX|-2	BONUS:STAT|CON|-4				SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Magic Stone|PRELEVEL:MIN=1|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Soften Earth and Stone|PRELEVEL:MIN=3|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Stone Shape|PRELEVEL:MIN=5|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Spike Stones|PRELEVEL:MIN=7|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Wall of Stone|PRELEVEL:MIN=9|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Stoneskin|PRELEVEL:MIN=11|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Earthquake|PRELEVEL:MIN=13|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Iron Body|PRELEVEL:MIN=15|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Elemental Swarm|PRELEVEL:MIN=17|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Plane Shift|PRELEVEL:MIN=19|PRESTAT:1,INT=8,WIS=8
Fire	VISIBLE:NO	SOURCEPAGE:MotP	KEY:Half-Elemental ~ Fire	SUBRACE:Half-Fire Elemental	BONUS:COMBAT|AC|1|TYPE=NaturalArmor.STACK	ABILITY:Special Ability|AUTOMATIC|Immunity To Fire Effects		BONUS:STAT|DEX|4		BONUS:STAT|INT|2		BONUS:STAT|CHA|2	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Burning Hands|PRELEVEL:MIN=1|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Produce Flame|PRELEVEL:MIN=3|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Flaming Sphere|PRELEVEL:MIN=5|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Wall of Fire|PRELEVEL:MIN=7|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Fire Shield|PRELEVEL:MIN=9|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Fire Seeds|PRELEVEL:MIN=11|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Firestorm|PRELEVEL:MIN=13|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Incendiary Cloud|PRELEVEL:MIN=15|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Elemental Swarm|PRELEVEL:MIN=17|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Plane Shift|PRELEVEL:MIN=19|PRESTAT:1,INT=8,WIS=8
Water	VISIBLE:NO	SOURCEPAGE:MotP	KEY:Half-Elemental ~ Water	SUBRACE:Half-Water Elemental	BONUS:COMBAT|AC|1|TYPE=NaturalArmor.STACK	ABILITY:Special Ability|AUTOMATIC|Immunity To Water Effects	BONUS:STAT|STR|2		BONUS:STAT|CON|2	BONUS:STAT|INT|2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Obscuring Mist|PRELEVEL:MIN=1|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Fog Cloud|PRELEVEL:MIN=3|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Water Breathing|PRELEVEL:MIN=5|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Control Water|PRELEVEL:MIN=7|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Ice Storm|PRELEVEL:MIN=9|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Cone of Cold|PRELEVEL:MIN=11|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Acid Fog|PRELEVEL:MIN=13|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Horrid Wilting|PRELEVEL:MIN=15|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Elemental Swarm|PRELEVEL:MIN=17|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Plane Shift|PRELEVEL:MIN=19|PRESTAT:1,INT=8,WIS=8
Shadow	VISIBLE:YES	SOURCEPAGE:MotP	!PRETEMPLATE:1,Incorporeal	RACETYPE:Magical Beast	BONUS:MOVEMULT|TYPE.All|1.5	ABILITY:Special Ability|AUTOMATIC|Resistance To Cold|Shadow ~ Shadow Blend	BONUS:VAR|ColdResistanceBonus|5+min(HD,20)|TYPE=Resistance	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1	BONUS:VAR|Shadow Special Quality|max(HD/4,1)	BONUS:SKILL|Move Silently|6	BONUS:MISC|CR|1										
Air Element	VISIBLE:YES	SOURCEPAGE:MotP	!PRETEMPLATE:1,Incorporeal	PRERACE:1,RACETYPE=Aberration,RACETYPE=Animal,RACETYPE=Magical Beast,RACETYPE=Plant,RACETYPE=Vermin	RACETYPE:Elemental	RACESUBTYPE:Air	MOVE:Fly,100	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability|Air Element ~ Air Mastery	BONUS:VAR|Maneuverability|5	BONUS:VAR|DarkvisionRange|60|TYPE=Base	DR:5/Magic|PRELEVEL:MIN=8	DR:10/Magic|PRELEVEL:MIN=12	BONUS:STAT|DEX|6	ABILITY:Special Ability|AUTOMATIC|Air Element ~ Language|PRESTAT:1,INT=4	AUTO:FEAT|Flyby Attack	BONUS:MISC|CR|1|PRELEVEL:MIN=3	BONUS:MISC|CR|1|PRELEVEL:MIN=8					
Earth Element	VISIBLE:YES	SOURCEPAGE:MotP	!PRETEMPLATE:1,Incorporeal	PRERACE:1,RACETYPE=Aberration,RACETYPE=Animal,RACETYPE=Magical Beast,RACETYPE=Plant,RACETYPE=Vermin	RACETYPE:Elemental	RACESUBTYPE:Earth	MOVE:Burrow,20	BONUS:COMBAT|AC|3|TYPE=NaturalArmor.STACK	ABILITY:Special Ability|AUTOMATIC|Earth Element ~ Earth Mastery|Earth Element ~ Burrow	BONUS:VAR|DarkvisionRange|60|TYPE=Base	DR:5/Magic|PRELEVEL:MIN=8	DR:10/Magic|PRELEVEL:MIN=12	BONUS:VAR|TremorsenseRange|60|TYPE=Base	BONUS:STAT|STR|2	BONUS:STAT|DEX|-2	ABILITY:Special Ability|AUTOMATIC|Earth Element ~ Language|PRESTAT:1,INT=4	BONUS:MISC|CR|1|PRELEVEL:MIN=3	BONUS:MISC|CR|1|PRELEVEL:MIN=8				
Fire Element	VISIBLE:YES	SOURCEPAGE:MotP	!PRETEMPLATE:1,Incorporeal	PRERACE:1,RACETYPE=Aberration,RACETYPE=Animal,RACETYPE=Magical Beast,RACETYPE=Plant,RACETYPE=Vermin	RACETYPE:Elemental	RACESUBTYPE:Fire		ABILITY:Special Ability|AUTOMATIC|Fire Element ~ Heat|Fire Element ~ Burn	BONUS:VAR|DarkvisionRange|60|TYPE=Base	DR:5/Magic|PRELEVEL:MIN=8	DR:10/Magic|PRELEVEL:MIN=12	ABILITY:Special Ability|AUTOMATIC|Fire Element ~ Language|PRESTAT:1,INT=4	BONUS:MISC|CR|1|PRELEVEL:MIN=3	BONUS:MISC|CR|1|PRELEVEL:MIN=8								
Water Element	VISIBLE:YES	SOURCEPAGE:MotP	!PRETEMPLATE:1,Incorporeal	PRERACE:1,RACETYPE=Aberration,RACETYPE=Animal,RACETYPE=Magical Beast,RACETYPE=Plant,RACETYPE=Vermin	RACETYPE:Elemental	RACESUBTYPE:Water	MOVE:Swim,90	ABILITY:Special Ability|AUTOMATIC|Water Element ~ Water Mastery|Water Element ~ Drench	BONUS:VAR|DarkvisionRange|60|TYPE=Base	DR:5/Magic|PRELEVEL:MIN=8	DR:10/Magic|PRELEVEL:MIN=12	ABILITY:Special Ability|AUTOMATIC|Water Element ~ Language|PRESTAT:1,INT=4	BONUS:MISC|CR|1|PRELEVEL:MIN=3	BONUS:MISC|CR|1|PRELEVEL:MIN=8	ABILITY:Special Ability|AUTOMATIC|Cold Element ~ Language|PRESTAT:1,INT=4	BONUS:MISC|CR|1|PRELEVEL:MIN=3	BONUS:MISC|CR|1|PRELEVEL:MIN=8					
Cold Element	VISIBLE:YES	SOURCEPAGE:MotP	!PRETEMPLATE:1,Incorporeal	PRERACE:1,RACETYPE=Aberration,RACETYPE=Animal,RACETYPE=Magical Beast,RACETYPE=Plant,RACETYPE=Vermin	RACETYPE:Elemental	RACESUBTYPE:Cold		BONUS:COMBAT|AC|3|TYPE=NaturalArmor.STACK	ABILITY:Special Ability|AUTOMATIC|Cold Element ~ Chill|Cold Element ~ Icewalking	BONUS:VAR|DarkvisionRange|60|TYPE=Base	DR:5/Magic|PRELEVEL:MIN=8	DR:10/Magic|PRELEVEL:MIN=12										
