SOURCELONG:Savage Species	SOURCESHORT:SS	SOURCEWEB:http://www.gozzilioni.net									
# Class Name	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Willpower)	Combat bonus	EXCLASS	FINE
# Class Name	Requirements	FINE									
# Class Name	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE		
# Class Name	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)						
#(level number)	ADD:SPELLCASTER o CAST	AUTO:WEAPONPROF	(FEATAUTO)	ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|	(DOMAIN)	(BONUS)			(DEFINE)	
CLASS:Emancipated Spawn	HD:12	TYPE:Monster.Prestige	ABB:Ems	MAXLEVEL:3	SOURCEPAGE:SS	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE		
CLASS:Emancipated Spawn	!PRETEMPLATE:1,Mindless	PRERACE:1,RACETYPE=Undead	PREATT:3	PRETEXT:Must have been created as a spawn by an undead creature that has since been destroyed.	PREFEAT:1,Ancestral Relic						
CLASS:Emancipated Spawn	STARTSKILLPTS:2	CSKILL:Bluff|Climb|Disguise|Hide|Intimidate|Jump|Listen|Move Silently|Search|Sense Motive|Spot									
#
1		ABILITY:Special Ability|AUTOMATIC|Weapon and Armor Proficiency ~ Emancipated Spawn
#											
1				ABILITY:Special Ability|AUTOMATIC|Turn Resistance|Emancipated Spawn Turn Resistance|Recall Feats			BONUS:VAR|EmancipatedSpawnTurnResistanceLVL|CL				
2				ABILITY:Special Ability|AUTOMATIC|Recall Class Feature							
3				ABILITY:Special Ability|AUTOMATIC|Rediscovery							
#											
CLASS:Illithid Savant	HD:4	TYPE:Monster.Prestige	ABB:Ils	MAXLEVEL:10	SOURCEPAGE:SS	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE		
CLASS:Illithid Savant	PRERACE:1,Mind Flayer	PRESKILL:1,Knowledge (Arcana)=10	PRETEXT:Must have consumed the brain of a creature of CR 9 or greater.								
CLASS:Illithid Savant	STARTSKILLPTS:2	CSKILL:Bluff|Concentration|Hide|Intimidate|TYPE.Knowledge|Listen|Move Silently|Search|Sense Motive									
1				ABILITY:Special Ability|AUTOMATIC|Lore|Illithid Savant Lore	ADD:ABILITY|1|Special Ability|VIRTUAL|Acquire Skill		BONUS:VAR|IllithidSavantLoreLVL|CL				
2							BONUS:ABILITYPOOL|Feat|min(4,CL/2)				
3				ABILITY:Special Ability|AUTOMATIC|Acquire Class Feature							
4					ADD:ABILITY|1|Special Ability|VIRTUAL|Acquire Skill						
5				ABILITY:Special Ability|AUTOMATIC|Acquire Special Attack or Quality							
6					ADD:ABILITY|1|Special Ability|VIRTUAL|Acquire Skill						
7				ABILITY:Special Ability|AUTOMATIC|Acquire Class Feature							
