SOURCELONG:Savage Species	SOURCESHORT:SS	SOURCEWEB:http://www.gozzilioni.net																																									
																																											
# BASICS																																											
# Feat Name	Type	visible		Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page		
#Ability Focus	vedi MM																																										
Area Attack	TYPE:General	VISIBLE:YES				PREFEAT:1,Power Attack									PRESTAT:1,STR=19					PRESIZEGTEQ:H				DESC:You can wield improvised weapons to attack several spaces at once.																	SOURCEPAGE:SS		
Assume Supernatural Ability	TYPE:General	VISIBLE:YES													PRESTAT:1,WIS=13					PRETEXT:Ability to assume a new form magically				DESC:You learn to use a supernatural ability of an assumed form.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:SS		
Blowhard	TYPE:General	VISIBLE:YES				PREFEAT:1,Power Attack									PRESTAT:1,CON=20					PRESIZEGTEQ:H				DESC:You can blow targets over with your breath.																	SOURCEPAGE:SS		
Bonus Breath	TYPE:Monstrous	VISIBLE:YES				PREFEAT:1,Extend Spell,Extend Spell Like Ability														PRETEXT:Breath weapon with limited uses per day				DESC:You can use your breath weapon one more time per day than you normally could	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:SS		
Controlled Respiration	TYPE:General	VISIBLE:YES				PREFEAT:1,Endurance														PRETEXT:Time limit on how long you can remain out of the water				DESC:You can stay out of water longer than you otherwise could																	SOURCEPAGE:SS		
Crush	TYPE:General	VISIBLE:YES																		PRESIZEGTEQ:H				DESC:Like a dragon, you can hurl your body onto opponents to deal tremendous damage																	SOURCEPAGE:SS		
Cumbrous Dodge	TYPE:General	VISIBLE:YES				PREFEAT:1,Dodge						PRESKILL:1,Tumble=4												DESC:You have a chance to dodge attacks that hits you, but a cost																	SOURCEPAGE:SS		
Cumbrous Fortitude	TYPE:General	VISIBLE:YES				PREFEAT:1,Great Fortitude																		DESC:You have a greater chance than normal to resist attacks against your vitality, but a cost																	SOURCEPAGE:SS		
Cumbrous Reflexes	TYPE:General	VISIBLE:YES				PREFEAT:1,Lightning Reflexes																		DESC:You have a greater chance than normal to resist attacks against your agility, but a cost																	SOURCEPAGE:SS		
