SOURCELONG:Dungeons Master guide	SOURCESHORT:DMG	SOURCEWEB:http://www.gozzilioni.net										
#
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE
# Class Name req	Requirements	FINE										
# Class Name skill	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE	HASSUBCLASS	HASSUBSTITUTIONLEVEL	ALLOWBASECLASS
# Class Name specast	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)	SPELLLIST						
#(level number)	ADD:SPELLCASTER o CAST	FEATAUTO proficiency	(FEATAUTO)	(SAB)	(SAB)	(DOMAIN)	(BONUS)			(DEFINE)		
CLASS:Red Wizard	HD:4	TYPE:Prestige	ABB:Red	MAXLEVEL:10	SOURCEPAGE:DMG	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE			
CLASS:Red Wizard	PRERACE:1,RACESUBTYPE=Human	PREREGION:1,Thay	PREALIGN:LN,LE,TN,NE,CN,CE	PRESKILL:1,Spellcraft=8	PREFEAT:1,Tatoo Focus	PREMULT:1,[PREFEAT:3,TYPE.ItemCreation],[PREFEAT:3,TYPE.Metamagic]	PRESPELLTYPE:1,Arcane=3					
CLASS:Red Wizard	STARTSKILLPTS:2	CSKILL:Bluff|Concentration|TYPE.Craft|Intimidate|TYPE.Knowledge|TYPE.Profession|Spellcraft								HASSUBCLASS:YES		ALLOWBASECLASS:NO
SUBCLASS:Red Wizard ~ Abjurer	COST:1	PROHIBITCOST:1	CHOICE:SCHOOL|Abjuration									
SUBCLASSLEVEL:1			ABILITY:Special Ability|AUTOMATIC|Specialist Defense ~ Abjuration	ABILITY:Special Ability|AUTOMATIC|Enhanced Specialization ~ Abjuration								
SUBCLASSLEVEL:2			ABILITY:Special Ability|AUTOMATIC|Spell Power ~ Abjuration									
SUBCLASS:Red Wizard ~ Conjurer	COST:1	PROHIBITCOST:1	CHOICE:SCHOOL|Conjuration									
SUBCLASSLEVEL:1			ABILITY:Special Ability|AUTOMATIC|Specialist Defense ~ Conjuration	ABILITY:Special Ability|AUTOMATIC|Enhanced Specialization ~ Conjuration								
SUBCLASSLEVEL:2			ABILITY:Special Ability|AUTOMATIC|Spell Power ~ Conjuration									
SUBCLASS:Red Wizard ~ Diviner	COST:1	PROHIBITCOST:0	CHOICE:SCHOOL|Divination									
SUBCLASSLEVEL:1			ABILITY:Special Ability|AUTOMATIC|Specialist Defense ~ Divination	ABILITY:Special Ability|AUTOMATIC|Enhanced Specialization ~ Divination								
SUBCLASSLEVEL:2			ABILITY:Special Ability|AUTOMATIC|Spell Power ~ Divination									
SUBCLASS:Red Wizard ~ Enchanter	COST:1	PROHIBITCOST:1	CHOICE:SCHOOL|Enchantment									
SUBCLASSLEVEL:1			ABILITY:Special Ability|AUTOMATIC|Specialist Defense ~ Enchantment	ABILITY:Special Ability|AUTOMATIC|Enhanced Specialization ~ Enchantment								
SUBCLASSLEVEL:2			ABILITY:Special Ability|AUTOMATIC|Spell Power ~ Enchantment									
SUBCLASS:Red Wizard ~ Evoker	COST:1	PROHIBITCOST:1	CHOICE:SCHOOL|Evocation									
SUBCLASSLEVEL:1			ABILITY:Special Ability|AUTOMATIC|Specialist Defense ~ Evocation	ABILITY:Special Ability|AUTOMATIC|Enhanced Specialization ~ Evocation								
SUBCLASSLEVEL:2			ABILITY:Special Ability|AUTOMATIC|Spell Power ~ Evocation									
SUBCLASS:Red Wizard ~ Illusionist	COST:1	PROHIBITCOST:1	CHOICE:SCHOOL|Illusion									
SUBCLASSLEVEL:1			ABILITY:Special Ability|AUTOMATIC|Specialist Defense ~ Illusion	ABILITY:Special Ability|AUTOMATIC|Enhanced Specialization ~ Illusion								
SUBCLASSLEVEL:2			ABILITY:Special Ability|AUTOMATIC|Spell Power ~ Illusion									
SUBCLASS:Red Wizard ~ Necromancer	COST:1	PROHIBITCOST:1	CHOICE:SCHOOL|Necromancy									
SUBCLASSLEVEL:1			ABILITY:Special Ability|AUTOMATIC|Specialist Defense ~ Necromancy	ABILITY:Special Ability|AUTOMATIC|Enhanced Specialization ~ Necromancy								
SUBCLASSLEVEL:2			ABILITY:Special Ability|AUTOMATIC|Spell Power ~ Necromancy									
SUBCLASS:Red Wizard ~ Transmuter	COST:1	PROHIBITCOST:1	CHOICE:SCHOOL|Transmutation									
SUBCLASSLEVEL:1			ABILITY:Special Ability|AUTOMATIC|Specialist Defense ~ Transmutation	ABILITY:Special Ability|AUTOMATIC|Enhanced Specialization ~ Transmutation								
SUBCLASSLEVEL:2			ABILITY:Special Ability|AUTOMATIC|Spell Power ~ Transmutation									
1	ADD:SPELLCASTER|Arcane						BONUS:VAR|SpecialistDefenseBonus|1					
2	ADD:SPELLCASTER|Arcane						BONUS:VAR|SpellPowerLVL|CL					
3	ADD:SPELLCASTER|Arcane						BONUS:VAR|SpecialistDefenseBonus|1					
4	ADD:SPELLCASTER|Arcane											
5	ADD:SPELLCASTER|Arcane	ABILITY:Special Ability|AUTOMATIC|Circle Leader|Red Wizard Circle Leader					BONUS:ABILITYPOOL|Red Wizard Feat|1	BONUS:VAR|RedWizardCircleLeaderLVL|CL				
6	ADD:SPELLCASTER|Arcane											
7	ADD:SPELLCASTER|Arcane	ABILITY:Special Ability|AUTOMATIC|Scribe Tatoo					BONUS:VAR|SpecialistDefenseBonus|1					
8	ADD:SPELLCASTER|Arcane											
9	ADD:SPELLCASTER|Arcane						BONUS:VAR|SpecialistDefenseBonus|1					
10	ADD:SPELLCASTER|Arcane
