SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net			
#					
###Focus Components					
###TODO: 					
# Magic Jar - a gem or crystal worth at least 100 gp					
# Tomb of Light - pure cristal clear gem worth at least 50 gp					
# Entomb - clear gemstone worth at least 500 gp					
# Refuge - a prepared object worth 1500 gp					
# Warding gem - one 500 gp gem.					
# Astral Hospice - Flawless gem of at least 250 gp					
# Gembomb - gems worth at least 1 gp					
# Fool's Gold – a powedered gem of at least 5 gp					
Amber (500 gp)	TYPE:MaterialComponent.Focus	COST:500	WT:0	SOURCEPAGE:MoF	SPROP:Focus for Simbul's Spell Matrix
Bottle (Ornate/50)	TYPE:MaterialComponent.Focus	COST:50	WT:0	SOURCEPAGE:CD	SPROP:Focus for Bottle of Smoke
Diamond (1000 gp)	TYPE:MaterialComponent.Focus.Consumable	COST:1000	WT:0	SOURCEPAGE:PHB	SPROP:Focus for Protection from Spells. Material Component for Invoke Magic.
Diamond (1500 gp)	TYPE:MaterialComponent.Focus	COST:1500	WT:0	SOURCEPAGE:MoF	SPROP:Focus for Simbul's Spell Trigger
Feather (Phoenix/50 gp)	TYPE:MaterialComponent.Focus	COST:50	WT:0	SOURCEPAGE:EXD	SPROP:Focus for Phoenix Fire
Hollow cone of brass and gold (50 gp)	TYPE:MaterialComponent.Focus	COST:50	WT:0	SOURCEPAGE:MoF	SPROP:Focus for Horizikaul's Versatile Vibration
Holy Water Font (100 gp)	TYPE:MaterialComponent.Focus	COST:100	WT:0	SOURCEPAGE:PHB	SPROP:Focus for Scrying
Hourglass (Platinum and Crystal/1000 gp)	TYPE:MaterialComponent.Focus	COST:1000	WT:0	SOURCEPAGE:CA	SPROP:Focus for Anticipate Teleportation (Greater)
Hourglass (Platinum and Crystal/500 gp)	TYPE:MaterialComponent.Focus	COST:500	WT:0	SOURCEPAGE:CA	SPROP:Focus for Anticipate Teleportation
Iron Bars (50 gp)	TYPE:MaterialComponent.Focus	COST:50	WT:0	SOURCEPAGE:PHB	SPROP:Focus for Repulsion
Ivory Plaque (50 gp)	TYPE:MaterialComponent.Focus	COST:50	WT:0	SOURCEPAGE:PHB	SPROP:Focus for Rary's Mnemonic Enhancer
Jade Circlet (1500 gp)	TYPE:MaterialComponent.Focus.Headgear	COST:1500	WT:0	SOURCEPAGE:PHB	SPROP:Focus for Shapechange
Laboratory Supply (500 gp)	TYPE:MaterialComponent.Focus	COST:500	WT:0	SOURCEPAGE:PHB	SPROP:Focus for Clone
Marked Sticks (25 gp)	TYPE:MaterialComponent.Focus	COST:1500	WT:0	SOURCEPAGE:PHB	SPROP:Focus for Augury
Miniature Chains (Platinum/500 gp)	TYPE:MaterialComponent.Focus	COST:500	WT:0	SOURCEPAGE:PGtF	SPROP:Focus for Howling Chain
Miniature of a blue ice Castle (20000 gp)	TYPE:MaterialComponent.Focus	COST:2000	WT:0	SOURCEPAGE:Fro	SPROP:Focus for Ice Castle
Miniature of a Platinum Sword (250)	TYPE:MaterialComponent.Focus	COST:250	WT:0	SOURCEPAGE:PHB	SPROP:Focus for Mordenkainen's Sword
Mirror (Silver/1000 gp)	TYPE:MaterialComponent.Focus	COST:1000	WT:0	SOURCEPAGE:BoVD	SPROP:Focus for Mirror Sending
Nugget of Adamantine (100 gp)	TYPE:MaterialComponent.Focus	COST:100	WT:0	SOURCEPAGE:MoF	SPROP:Focus for Ironguard (Greater)
Prayer Beads (500 gp)	TYPE:MaterialComponent.Focus	COST:1500	WT:0	SOURCEPAGE:PHB	SPROP:Focus for Atonement
Reliquiary (500 gp)	TYPE:MaterialComponent.Focus	COST:500	WT:0	SOURCEPAGE:PHB	SPROP:Focus for Cloak of Chaos, Holy Aura, Unholy Aura, Shield of Law
Ring (Platinum/50 gp)	TYPE:MaterialComponent.Focus.Ring	COST:50	WT:0	SOURCEPAGE:PHB	SPROP:Focus for Shield Other, Glory of the Martyr
Ruby and Gold Lens (1500 gp)	TYPE:MaterialComponent.Focus	COST:1500	WT:0	SOURCEPAGE:PHB	SPROP:Focus for Analyze Dweomer
Set of 4 Pieces of Ivory (200 gp)	TYPE:MaterialComponent.Focus	COST:200	WT:0	SOURCEPAGE:PHB	SPROP:Focus for Legend Lore
Set of Minature Items (15 gp)	TYPE:MaterialComponent.Focus	COST:15	WT:0	SOURCEPAGE:PHB	SPROP:Focus for Mordenkainen's Magnificent Mansion
Snow Flake shaped Shuriken (50 gp)	TYPE:MaterialComponent.Focus	COST:50	WT:0	SOURCEPAGE:MoF	SPROP:Focus for Zajimarn's Field of Icy Razors
Statuette (Ivory/1500 gp)	TYPE:MaterialComponent.Focus	COST:1500	WT:0	SOURCEPAGE:PHB	SPROP:Focus for Contingency, Elminter's Evasion
Stewpot (Engraved/50 gp)	TYPE:MaterialComponent.Focus	COST:50	WT:0	SOURCEPAGE:EXD	SPROP:Focus for Estanna's Stew
Pottery Vessel (25 gp)	TYPE:MaterialComponent.Focus	COST:25	WT:0	SOURCEPAGE:CD	SPROP:Focus for Creeping Cold
Silver Loop (25 gp)	TYPE:MaterialComponent.Focus.Headgear	COST:25	WT:0	SOURCEPAGE:CW	SPROP:Focus for Crown of Smiting
Statuette of an Unicorn (Ivory/25 gp)	TYPE:MaterialComponent.Focus	COST:25	WT:0	SOURCEPAGE:PHB2	SPROP:Focus for Melf's Unicorn Arrow
Sapphire (1000 gp)	TYPE:MaterialComponent.Focus.Consumable	COST:1000	WT:0	SOURCEPAGE:PHB	SPROP:Focus for Simbul's Spell Sequencer. Material Component for Drawmij's Instant Summons. 
Sculpture of humanoid (Glass/50 gp)	TYPE:MaterialComponent.Focus	COST:50	WT:0	SOURCEPAGE:SpC	SPROP:Focus for Acid Sheath.
Bell (Crystall/100 gp)	TYPE:MaterialComponent.Focus	COST:100	WT:0	SOURCEPAGE:SpC	SPROP:Focus for Alarm (Greater).
Goblet (Crystall/500 gp)	TYPE:MaterialComponent.Focus	COST:500	WT:0	SOURCEPAGE:SpC	SPROP:Focus for Body Harmonic.
Miniature Fiddle (Silver/30 gp)	TYPE:MaterialComponent.Focus	COST:30	WT:0	SOURCEPAGE:SpC	SPROP:Focus for Bonefiddle.
					
Holy Symbol (Silver/Anathema)	TYPE:Goods.Tools.DivineFocus	COST:500	WT:1	SOURCEPAGE:PHB	SPROP:Focus for Destruction
Unholy Symbol (Silver/Anathema)	TYPE:Goods.Tools.DivineFocus	COST:500	WT:1	SOURCEPAGE:PHB	SPROP:Focus for Destruction
					
Forked Metal Rod	TYPE:MaterialComponent.Focus	COST:0	WT:0	SOURCEPAGE:PHB	SPROP:Focus for Plane Shift
Forked Metal Rod (Material Plane/Faerun)	TYPE:MaterialComponent.Focus	COST:0	WT:0	SOURCEPAGE:PHB	SPROP:Focus for Plane Shift, attuned to the Material Plane
Forked Metal Rod (Material Plane/Ravenloft)	TYPE:MaterialComponent.Focus	COST:0	WT:0	SOURCEPAGE:PHB	SPROP:Focus for Plane Shift, attuned to the Material Plane
Forked Metal Rod (Material Plane)	TYPE:MaterialComponent.Focus	COST:0	WT:0	SOURCEPAGE:PHB	SPROP:Focus for Plane Shift, attuned to the Material Plane
Forked Metal Rod (Astral Plane)	TYPE:MaterialComponent.Focus	COST:0	WT:0	SOURCEPAGE:PHB	SPROP:Focus for Plane Shift, attuned to the Astral Plane
