SOURCELONG:Gozzilioni	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																																																																			
																																																																					
###Block: A																																																																					
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells					
#Half-Ogre		FAVCLASS:Barbarian	STARTFEATS:1	SIZE:L	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')			LANGAUTO:Giant,Common	LANGBONUS:Draconic,Gnoll,Goblin,Orc,Abyssal	BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|6	BONUS:STAT|DEX|-2	BONUS:STAT|CON|2	BONUS:STAT|INT|-2		BONUS:STAT|CHA|-2																			ABILITY:Special Ability|AUTOMATIC|Giant Blood										RACETYPE:Monstrous Humanoid	RACESUBTYPE:Ogre	TYPE:Monstrous Humanoid	TEMPLATE:Monstrous Humanoid					LEVELADJUSTMENT:1		SOURCEPAGE:SS						
#																																																																					
Aboleth (MM)					MOVE:Walk,10,Swim,60	FACE:15	REACH:10						BONUS:COMBAT|AC|13|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|6	BONUS:STAT|CON|6	BONUS:STAT|INT|2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Intimidate|Listen|Search|Sense Motive|Spot|Swim|Survival									LEGS:4	HANDS:0				NATURALATTACKS:Hoof,Weapon.Natural.Melee.Finesseable.Bludgeoning.Acid,*2,1d8|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Acidic Hooves|Trample	ABILITY:Special Ability|AUTOMATIC|Water Breathing									RACETYPE:Outsider		TYPE:Outsider	TEMPLATE:Outsider						CR:5	SOURCEPAGE:MM		DEFINE:AcidicTouchDice|1	DEFINE:AcidicTouchDamageDie|8			
Avoral (MM)	OUTPUTNAME:[NAME] Guardinal		STARTFEATS:1	SIZE:M	MOVE:Walk,40,Fly,90	FACE:5	REACH:5	VISION:Low-Light		PREALIGN:NG			BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Spot|8|TYPE.Racial				BONUS:STAT|STR|4	BONUS:STAT|DEX|12	BONUS:STAT|CON|10	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Handle Animal|Hide|Intimidate|TYPE.Knowledge|Listen|Move Silently|Ride|Sense Motive|Spellcraft|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Bludgeoning,*2,2d6		ABILITY:Special Ability|AUTOMATIC|Fear Aura|True Seeing						SR:25	DR:10/Evil or Silver		MONSTERCLASS:Outsider:7	RACETYPE:Outsider	RACESUBTYPE:Extraplanar|Good	TYPE:Outsider	TEMPLATE:Outsider|Guardinal	TEMPLATE:Good			HITDICEADVANCEMENT:14,21		CR:9	SOURCEPAGE:MM	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=8|Aid,12+CHA|Blur,12+CHA|Command,11+CHA|Detect Magic,10+CHA|Dimension Door,14+CHA|Dispel Magic,13+CHA|Gust of Wind,12+CHA|Hold Person,13+CHA|Light,10+CHA|Magic Circle against Evil,13+CHA|Magic Missile,11+CHA|See Invisibility,12+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=8|Lightning Bolt,13+CHA	ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|4	DEFINE:FearAuraDC|11+(HD/2)+CHA	DEFINE:FearAuraRadius|20
Beholder	OUTPUTNAME:Beholder		STARTFEATS:1	SIZE:L	MOVE:Walk,5,Fly,20	FACE:10	REACH:5	VISION:Darkvision (60')					BONUS:COMBAT|AC|15|TYPE=NaturalArmor.REPLACE							BONUS:STAT|DEX|4	BONUS:STAT|CON|8	BONUS:STAT|INT|6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Hide|Knowledge (Arcana)|Listen|Search|Spot|Survival					VFEAT:Alertness				LEGS:0	HANDS:0				NATURALATTACKS:Eye Rays,Weapon.Natural.Finesseable.Ranged.Touch,*10,0|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d4		ABILITY:Special Ability|AUTOMATIC|Antimagic Cone									MONSTERCLASS:Aberration:11	RACETYPE:Aberration	RACESUBTYPE:Beholder	TYPE:Aberration	TEMPLATE:Aberration|Beholder				HITDICEADVANCEMENT:16,33		CR:13	SOURCEPAGE:MM						
Beholder (Gauth)	OUTPUTNAME:Beholder [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,5,Fly,20	FACE:5	REACH:5	VISION:Darkvision (60')					BONUS:COMBAT|AC|7|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|-2	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|2			MONCSKILL:Hide|Knowledge (Arcana)|Listen|Search|Spot|Survival					VFEAT:Alertness				LEGS:0	HANDS:0				NATURALATTACKS:Eye Rays,Weapon.Natural.Finesseable.Ranged.Touch,*6,0|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Stunning Gaze									MONSTERCLASS:Aberration:6	RACETYPE:Aberration	RACESUBTYPE:Beholder	TYPE:Aberration	TEMPLATE:Aberration|Beholder				HITDICEADVANCEMENT:12,18		CR:6	SOURCEPAGE:MM						
Demon (Babau).MOD	TEMPLATE:Tanar'ri	SOURCEPAGE:MM																																																																			
Demon (Balor).MOD	TEMPLATE:Tanar'ri	SOURCEPAGE:MM																																																																			
Demon (Dretch).MOD	TEMPLATE:Tanar'ri	SOURCEPAGE:MM																																																																			
Demon (Glabrezu).MOD	TEMPLATE:Tanar'ri	SOURCEPAGE:MM																																																																			
