SOURCELONG:Noble Steed	SOURCESHORT:Nob	SOURCEWEB:http://www.gozzilioni.net								
																																									
# BASICS																																									
# Feat Name	Type	visible		Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page
Battering Ram	TYPE:SteedElephant	VISIBLE:YES																		PRERACE:1,RACESUBTYPE=Elephant				DESC:See Text																	SOURCEPAGE:Nob
Desert Direction	TYPE:SteedCamel	VISIBLE:YES																		PRERACE:1,RACESUBTYPE=Camel				DESC:See Text																	SOURCEPAGE:Nob
Fearless Nob	OUTPUTNAME:Fearless	TYPE:SteedBattle	VISIBLE:YES																				ABILITY:Special Ability|VIRTUAL|Immunity To Fear		DESC:See Text																	SOURCEPAGE:Nob	SERVESAS:ABILITY=FEAT|Fearless
Fight in Haness	TYPE:SteedBattle	VISIBLE:YES																						DESC:See Text																	SOURCEPAGE:Nob
Flying Lead Change	TYPE:SteedDressage	VISIBLE:YES				PREFEAT:1,Sure Footed									PRESTAT:1,DEX=15									DESC:See Text																	SOURCEPAGE:Nob
Great Leap	TYPE:SteedGeneral	VISIBLE:YES																						DESC:See Text													BONUS:SKILL|Jump|4				SOURCEPAGE:Nob
Half Pass	TYPE:SteedDressage	VISIBLE:YES													PRESTAT:1,DEX=15									DESC:See Text																	SOURCEPAGE:Nob
Heavy Burden	TYPE:SteedGeneral	VISIBLE:YES																						DESC:See Text																	SOURCEPAGE:Nob
Improved Charge	TYPE:SteedBattle	VISIBLE:YES																						DESC:See Text																	SOURCEPAGE:Nob
Increased Stamina	TYPE:SteedGeneral	VISIBLE:YES																						DESC:See Text	STACK:YES	MULT:YES	CHOOSE:NUMCHOICES=2|NOCHOICE														SOURCEPAGE:Nob
Massive Blow	TYPE:SteedBattle	VISIBLE:YES				PREFEAT:1,Improved Charge																		DESC:See Text																	SOURCEPAGE:Nob
Pirouette	TYPE:SteedDressage	VISIBLE:YES				PREFEAT:1,Half Pass																		DESC:See Text																	SOURCEPAGE:Nob
Rear Kick	TYPE:SteedBattle	VISIBLE:YES																						DESC:See Text																	SOURCEPAGE:Nob
Safe Haven	TYPE:SteedBattle	VISIBLE:YES																						DESC:See Text																	SOURCEPAGE:Nob
Shoulder In	TYPE:SteedDressage	VISIBLE:YES				PREFEAT:1,Improved Charge																		DESC:See Text																	SOURCEPAGE:Nob
Snatch Nob	OUTPUTNAME:Snatch	TYPE:SteedFlight	VISIBLE:YES													PRESTAT:1,STR=17					PREABILITY:1,CATEGORY=Special Ability,Flight (Ex),Flight (Su),Swim (Ex),Flight (Sp)				DESC:See Text																	SOURCEPAGE:Nob	SERVESAS:ABILITY=FEAT|Snatch
Sole Rider	TYPE:SteedGeneral	VISIBLE:YES																						DESC:See Text																	SOURCEPAGE:Nob
Sure Footed	TYPE:SteedGeneral	VISIBLE:YES	OUTPUTNAME:Sure-Footed																					DESC:See Text																	SOURCEPAGE:Nob
Swoop Attack	TYPE:SteedFlight	VISIBLE:YES													PRESTAT:1,DEX=15					PREABILITY:1,CATEGORY=Special Ability,Flight (Ex),Flight (Su),Swim (Ex),Flight (Sp)				DESC:See Text																	SOURCEPAGE:Nob
Titanic Charge	TYPE:SteedElephant	VISIBLE:YES				PREFEAT:2,Improved Charge,Massive Blow														PRERACE:1,RACESUBTYPE=Elephant				DESC:See Text																	SOURCEPAGE:Nob
Tower Bearing	TYPE:SteedElephant	VISIBLE:YES																		PRERACE:1,RACESUBTYPE=Elephant				DESC:See Text																	SOURCEPAGE:Nob
Trick Riding	TYPE:SteedGeneral	VISIBLE:YES																						DESC:See Text																	SOURCEPAGE:Nob
Water Finding	TYPE:SteedCamel	VISIBLE:YES	OUTPUTNAME:Water-Finding																	PRERACE:1,RACESUBTYPE=Camel				DESC:See Text																	SOURCEPAGE:Nob
Way Home	TYPE:SteedGeneral	VISIBLE:YES																						DESC:See Text																	SOURCEPAGE:Nob
Alertness.MOD	TYPE:SteedGeneral																																								
Dodge.MOD	TYPE:SteedGeneral																																								
Endurance.MOD	TYPE:SteedGeneral																																								
Great Fortitude.MOD	TYPE:SteedGeneral																																								
Improved Initiative.MOD	TYPE:SteedGeneral																																								
Iron Will.MOD	TYPE:SteedGeneral																																								
Lightning Reflexes.MOD	TYPE:SteedGeneral																																								
Mobility.MOD	TYPE:SteedGeneral																																								
Run.MOD	TYPE:SteedGeneral																																								
Toughness.MOD	TYPE:SteedGeneral																																								
