SOURCELONG:Darkness and Dread	SOURCESHORT:DD	SOURCEWEB:http://www.gozzilioni.net																														
#																																
###Block: Proficiencies																																
# Ability Name	Category of Ability	Type	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality			KEY:Weapon and Armor Proficiency ~ Acolyte																		ABILITY:Special Ability|AUTOMATIC|All Automatic Proficiencies|Academic Weapon Proficiencies		AUTO:FEAT|Armor Proficiency (Light)							SOURCEPAGE:DD
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality			KEY:Weapon and Armor Proficiency ~ Alchemist																		ABILITY:Special Ability|AUTOMATIC|All Automatic Proficiencies|Academic Weapon Proficiencies									SOURCEPAGE:DD
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality			KEY:Weapon and Armor Proficiency ~ Antiquarian																		ABILITY:Special Ability|AUTOMATIC|All Automatic Proficiencies|Academic Weapon Proficiencies									SOURCEPAGE:DD
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality			KEY:Weapon and Armor Proficiency ~ Apprentice																		ABILITY:Special Ability|AUTOMATIC|All Automatic Proficiencies|Academic Weapon Proficiencies									SOURCEPAGE:DD
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality			KEY:Weapon and Armor Proficiency ~ Artisan																		ABILITY:Special Ability|AUTOMATIC|All Automatic Proficiencies|Expert Weapon Proficiencies									SOURCEPAGE:DD
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality			KEY:Weapon and Armor Proficiency ~ Beggar																		ABILITY:Special Ability|AUTOMATIC|All Automatic Proficiencies|Orator Weapon Proficiencies									SOURCEPAGE:DD
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality			KEY:Weapon and Armor Proficiency ~ Engineer																		ABILITY:Special Ability|AUTOMATIC|All Automatic Proficiencies|Academic Weapon Proficiencies|Engineer Weapon Proficiencies		AUTO:FEAT|Armor Proficiency (Light)							SOURCEPAGE:DD
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality			KEY:Weapon and Armor Proficiency ~ Gambler																		ABILITY:Special Ability|AUTOMATIC|All Automatic Proficiencies|Gambler Weapon Proficiencies	AUTO:FEAT|Simple Weapon Proficiency								SOURCEPAGE:DD
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality			KEY:Weapon and Armor Proficiency ~ Grave Robber																		ABILITY:Special Ability|AUTOMATIC|All Automatic Proficiencies	AUTO:FEAT|Simple Weapon Proficiency	AUTO:FEAT|Armor Proficiency (Light)							SOURCEPAGE:DD
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality			KEY:Weapon and Armor Proficiency ~ Grifter																		ABILITY:Special Ability|AUTOMATIC|All Automatic Proficiencies|Orator Weapon Proficiencies									SOURCEPAGE:DD
