SOURCELONG:Gozzilioni Darkness and Dread	SOURCESHORT:SS	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-01																													
																																
# Ability Name	Category of Ability	TYPE:	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
###Block: Common Abilities																																
Skills	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES	DESC:These careers focus on learning and knowledge. Characters with a penchant for learning and research fall into these vocations. They learn about a variety of topics, but rarely develop their physical skills.	KEY:Academic ~ Skills																		CSKILL:Concentration|Knowledge (Geography)|Knowledge (History)|Knowledge (Local)|TYPE=Profession|Speak Language									SOURCEPAGE:DD
Skills	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES	DESC:These professions require a mix of physical skill and mental acuity. A blacksmith counts as an expert. She uses her strength to forge metal tools, but she must study a variety of methods to master her art.	KEY:Expert ~ Skills																		CSKILL:TYPE=Craft|Knowledge (Local)|TYPE=Profession									SOURCEPAGE:DD
Skills	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES	DESC:Relying on strength and endurance, laborers earn a living through hard, physical work. This category includes soldiers and others who use weapons for a living.	KEY:Laborer ~ Skills																		CSKILL:Climb|Jump|Swim									SOURCEPAGE:DD
Skills	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES	DESC:These professions draw people who have a way with words or are skilled in working crowds. They can range from a minstrel who entertains others with his songs to a grifter whose schemes fleece the unwitting of their fortunes.	KEY:Orator ~ Skills																		CSKILL:Bluff|Diplomacy|Intimidate									SOURCEPAGE:DD
																																
###Block: Class Abilities																																
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.AcolyteClassFeatures	VISIBLE:YES	DESC:Acolytes are proficient with the club, dagger, staff, and the light and heavy crossbow. They are proficient with light armor but not with shields.	KEY:Acolyte ~ Weapon and Armor Proficiency																		AUTO:WEAPONPROF|Club|Dagger|Quarterstaff|Crossbow (Heavy)|Crossbow (Light)								SORTKEY:Class_Acolyte	SOURCEPAGE:DD
Spellcasting	CATEGORY:Special Ability	TYPE:ClassFeatures.AcolyteClassFeatures	VISIBLE:YES	DESC:Acolytes gain access to a small number of divine spells. These blessings are much more limited in scope than a cleric's lists, as they tend to focus on daily necessities and conveniences rather than smiting evil. Acolytes prepare and cast spells as clerics. They use Wisdom to determine their spells' save DCs, the highest spell level they can cast, and any bonus spells they receive. If the acolyte has a 0 listed for a given level, add any bonus spells he receives to determine the total spells per day he can prepare and cast for that level. In essence, the acolyte cannot use spells of that level unless he gains bonus spells. Note that, unlike clerics, acolytes cannot spontaneously cast cure spells.	KEY:Acolyte ~ Spellcasting																										SORTKEY:Class_Acolyte	SOURCEPAGE:DD
Ward the Unholy	CATEGORY:Special Ability	TYPE:ClassFeatures.AcolyteClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:While acolytes lack a cleric's ability to blast the undead out of existence, they can call upon their gods' power to hold supernatural creatures at bay. %1/day, an acolyte can invoke his god's power to protect himself and his allies from fell monsters. He calls upon a divine blessing that grants him and all allies within 30 feet a +1 sacred bonus to AC and a +2 morale bonus to Will saves. To use this ability, the acolyte must have 5 gp worth of incense, holy water, and other religious paraphernalia on hand. These items are consumed when the acolyte uses this ability. Usually, it is easiest to total up the gp value of the acolyte's holy water and similar items and subtract 5 gp from them after each use of this ability. If the acolyte has less than 5 gp of these items on hand, this ability fails to function.|WardTheUnholyTimes	KEY:Acolyte ~ Ward the Unholy				DEFINE:WardTheUnholyTimes|0					BONUS:VAR|WardTheUnholyTimes|(AcolyteLVL+3)/3																	SORTKEY:Class_Acolyte	SOURCEPAGE:DD
Tend the Flock	CATEGORY:Special Ability	TYPE:ClassFeatures.AcolyteClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:By spending a full-round action chanting prayers and benedictions, the acolyte can calm others and steady their nerves. All allies within 60 feet of the acolyte who are 3 or more levels below the acolyte's total level gain a +4 morale bonus to Will saves, a +2 morale bonus to attacks, and a +2 morale bonus on all ability and skill checks. The acolyte can use this ability %1 per day and its effects last for 5 rounds + the acolyte's Charisma modifier (%2 rounds). The acolyte is skilled at managing large crowds and leading mobs of commoners and other folk who adhere to his faith.|TendTheFlockTimes|TendTheFlockDuration	KEY:Acolyte ~ Tend the Flock				DEFINE:TendTheFlockTimes|0	DEFINE:TendTheFlockDuration|0				BONUS:VAR|TendTheFlockTimes|2	BONUS:VAR|TendTheFlockDuration|5+CHA																SORTKEY:Class_Acolyte	SOURCEPAGE:DD
Strength of the Faithful	CATEGORY:Special Ability	TYPE:ClassFeatures.AcolyteClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 10th level, the acolyte is perhaps one of the most accomplished members of the church hierarchy. He has witnessed many miracles and seen the holy power of his god. His faith is unshakeable in the face of the horrors that lurk just beyond the knowledge of mortal men. He gains a +4 morale bonus on all saves against fear-based effects. In addition, %1 per day he can choose to automatically succeed at a single Will save against a fear-based effect.|StrengthOfTheFaithfulTimes	KEY:Acolyte ~ Strength of the Faithful				DEFINE:StrengthOfTheFaithfulTimes|0					BONUS:VAR|StrengthOfTheFaithfulTimes|1	BONUS:VAR|FearResistanceBonus|4|TYPE=Morale								ABILITY:Special Ability|AUTOMATIC|Resistance To Fear								SORTKEY:Class_Acolyte	SOURCEPAGE:DD
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.AlchemistClassFeatures	VISIBLE:YES	DESC:Alchemists are proficient with daggers, clubs, staffs, and heavy and light crossbows. They have no proficiency with armor or shields.	KEY:Alchemist ~ Weapon and Armor Proficiency																		AUTO:WEAPONPROF|Club|Dagger|Quarterstaff|Crossbow (Heavy)|Crossbow (Light)								SORTKEY:Class_Alchemist	SOURCEPAGE:DD
Spellcasting	CATEGORY:Special Ability	TYPE:ClassFeatures.AlchemistClassFeatures	VISIBLE:YES	DESC:Alchemists prepare and cast spells as per the wizard class. They gain an additional spell in their books with each level gained in this class. Intelligence determines the alchemist's maximum spell level, bonus spells, and spell save DCs. The core rules have complete details on spellbooks and how casters learn and prepare spells. If the alchemist has a 0 listed for a given level, add any bonus spells he receives to determine the total spells per day he can prepare and cast for that level. In essence, the alchemist cannot use spells of that level unless he gains bonus spells.	KEY:Alchemist ~ Spellcasting																										SORTKEY:Class_Alchemist	SOURCEPAGE:DD
