SOURCELONG:Seafarer's Handbook	SOURCESHORT:Ssh	SOURCEWEB:http://www.gozzilioni.net																																																				
																																																						
# Modifier Name				Unique Key			Naming Option	Type				Plus		Cost												Type granted	Source Page		Required Type					Special Property																				Choose
Waterbane	KEY:WTRBANE_M	TYPE:Weapon	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:p.39	PRETYPE:3,Enhancement,Weapon,Melee	SPROP:Ignore the damage reduction of Water subtype, ignores all penalties associated with being underwater, +1d6 damage to creature with water subtype																																												
Waterbane	KEY:WTRBANE_R	TYPE:Weapon	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:p.39	PRETYPE:3,Enhancement,Weapon,Ranged	SPROP:Ignore the damage reduction of Water subtype, ignores all penalties associated with being underwater, +1d6 damage to creature with water subtype																																												
Waterbane	KEY:WTRBANE	TYPE:Armor.Shield	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:p.39	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]	SPROP:Ignores all penalties associated with being underwater																																												
																																																						
#																																																						
|Spell Effect (Single Use/Completion/Waterproof)	KEY:A_1USEMI_WP	NAMEOPT:SPELL	TYPE:Scroll.Arcane.Minor	COST:(1.1)*((25*(max((%SPELLLEVEL),(1/2)))*%CASTERLEVEL)+%SPELLCOST+(5*%SPELLXPCOST))	VISIBLE:QUALIFY	ITYPE:Enhancement.Magic.Consumable.Waterproof	SOURCEPAGE:Ssh	PRETYPE:3,Scroll,Arcane,Minor							CHOOSE:EQBUILDER.SPELL|Arcane|0|3																																							
|Spell Effect (Single Use/Completion/Waterproof)	KEY:A_1USEME_WP	NAMEOPT:SPELL	TYPE:Scroll.Arcane.Medium	COST:(1.1)*((25*(max((%SPELLLEVEL),(1/2)))*%CASTERLEVEL)+%SPELLCOST+(5*%SPELLXPCOST))	VISIBLE:QUALIFY	ITYPE:Enhancement.Magic.Consumable.Waterproof	SOURCEPAGE:Ssh	PRETYPE:3,Scroll,Arcane,Medium						CHOOSE:EQBUILDER.SPELL|Arcane|2|5																																								
|Spell Effect (Single Use/Completion/Waterproof)	KEY:A_1USEMA_WP	NAMEOPT:SPELL	TYPE:Scroll.Arcane.Major	COST:(1.1)*((25*(max((%SPELLLEVEL),(1/2)))*%CASTERLEVEL)+%SPELLCOST+(5*%SPELLXPCOST))	VISIBLE:QUALIFY	ITYPE:Enhancement.Magic.Consumable.Waterproof	SOURCEPAGE:Ssh	PRETYPE:3,Scroll,Arcane,Major							CHOOSE:EQBUILDER.SPELL|Arcane|4|9																																							
|Spell Effect (Single Use/Completion/Waterproof)	KEY:D_1USEMI_WP	NAMEOPT:SPELL	TYPE:Scroll.Divine.Minor	COST:(1.1)*((25*(max((%SPELLLEVEL),(1/2)))*%CASTERLEVEL)+%SPELLCOST+(5*%SPELLXPCOST))	VISIBLE:QUALIFY	ITYPE:Enhancement.Magic.Consumable.Waterproof	SOURCEPAGE:Ssh	PRETYPE:3,Scroll,Divine,Minor							CHOOSE:EQBUILDER.SPELL|Divine|0|3																																							
|Spell Effect (Single Use/Completion/Waterproof)	KEY:D_1USEME_WP	NAMEOPT:SPELL	TYPE:Scroll.Divine.Medium	COST:(1.1)*((25*(max((%SPELLLEVEL),(1/2)))*%CASTERLEVEL)+%SPELLCOST+(5*%SPELLXPCOST))	VISIBLE:QUALIFY	ITYPE:Enhancement.Magic.Consumable.Waterproof	SOURCEPAGE:Ssh	PRETYPE:3,Scroll,Divine,Medium						CHOOSE:EQBUILDER.SPELL|Divine|2|5																																								
|Spell Effect (Single Use/Completion/Waterproof)	KEY:D_1USEMA_WP	NAMEOPT:SPELL	TYPE:Scroll.Divine.Major	COST:(1.1)*((25*(max((%SPELLLEVEL),(1/2)))*%CASTERLEVEL)+%SPELLCOST+(5*%SPELLXPCOST))	VISIBLE:QUALIFY	ITYPE:Enhancement.Magic.Consumable.Waterproof	SOURCEPAGE:Ssh	PRETYPE:3,Scroll,Divine,Major							CHOOSE:EQBUILDER.SPELL|Divine|4|9																																							
																																																						
#																																																						
# End																																																						
#																																																						
